capture_to_processing_ms,processing_to_display_ms,end_to_end_latency_ms,capture_to_processing_avg_ms,capture_to_processing_worst_ms,processing_to_display_avg_ms,processing_to_display_worst_ms,end_to_end_avg_ms,end_to_end_worst_ms,dropped_audio_samples,missed_beat_detections
41.379400,5.794555,47.173955,41.379400,41.379400,5.794555,5.794555,47.173955,47.173955,0,0
1.120223,17.417275,18.537498,21.249811,41.379400,11.605915,17.417275,32.855727,47.173955,0,0
1.798358,1.879021,3.677379,14.765994,41.379400,8.363617,17.417275,23.129611,47.173955,0,0
1.199721,8.005633,9.205354,11.374426,41.379400,8.274121,17.417275,19.648547,47.173955,0,0
3.025891,3.455427,6.481318,9.704719,41.379400,7.310382,17.417275,17.015101,47.173955,0,0
2.054753,6.819246,8.873999,8.429724,41.379400,7.228526,17.417275,15.658251,47.173955,0,0
1.361176,9.233835,10.595011,7.419932,41.379400,7.514999,17.417275,14.934931,47.173955,0,0
1.408211,2.823531,4.231742,6.668467,41.379400,6.928565,17.417275,13.597032,47.173955,0,0
3.001375,1.684623,4.685998,6.261012,41.379400,6.345905,17.417275,12.606917,47.173955,0,0
1.637514,12.771832,14.409346,5.798662,41.379400,6.988498,17.417275,12.787160,47.173955,0,0
1.161130,4.817954,5.979084,5.377068,41.379400,6.791176,17.417275,12.168244,47.173955,0,0
1.517557,3.575495,5.093052,5.055442,41.379400,6.523202,17.417275,11.578645,47.173955,0,0
1.831227,1.924574,3.755801,4.807426,41.379400,6.169462,17.417275,10.976887,47.173955,0,0
1.438042,2.901916,4.339958,4.566756,41.379400,5.936065,17.417275,10.502821,47.173955,0,0
4.138339,6.107448,10.245787,4.538194,41.379400,5.947491,17.417275,10.485685,47.173955,0,0
1.337529,6.946722,8.284251,4.338153,41.379400,6.009943,17.417275,10.348096,47.173955,0,0
1.141056,4.089064,5.230120,4.150088,41.379400,5.896950,17.417275,10.047038,47.173955,0,0
1.808321,12.085513,13.893834,4.019990,41.379400,6.240759,17.417275,10.260749,47.173955,0,0
1.620718,4.353791,5.974509,3.893713,41.379400,6.141445,17.417275,10.035158,47.173955,0,0
1.604831,3.881925,5.486756,3.779269,41.379400,6.028469,17.417275,9.807738,47.173955,0,0
2.797384,3.825891,6.623275,3.732512,41.379400,5.923584,17.417275,9.656097,47.173955,0,0
1.674697,12.977360,14.652057,3.638975,41.379400,6.244210,17.417275,9.883186,47.173955,0,0
1.594331,3.852816,5.447147,3.550078,41.379400,6.140237,17.417275,9.690314,47.173955,0,0
6.859189,4.690201,11.549390,3.687957,41.379400,6.079819,17.417275,9.767776,47.173955,0,0
6.252886,9.078546,15.331432,3.790554,41.379400,6.199768,17.417275,9.990322,47.173955,0,0
1.223664,3.194254,4.417918,3.691828,41.379400,6.084171,17.417275,9.775999,47.173955,0,0
1.100040,2.107214,3.207254,3.595836,41.379400,5.936876,17.417275,9.532712,47.173955,0,0
1.141093,10.034630,11.175723,3.508166,41.379400,6.083225,17.417275,9.591391,47.173955,0,0
1.843801,2.968228,4.812029,3.450774,41.379400,5.975811,17.417275,9.426585,47.173955,0,0
1.273402,0.651728,1.925130,3.378195,41.379400,5.798342,17.417275,9.176537,47.173955,0,0
1.250291,7.752258,9.002549,3.309553,41.379400,5.861371,17.417275,9.170924,47.173955,0,0
0.855589,5.314152,6.169741,3.232867,41.379400,5.844271,17.417275,9.077137,47.173955,0,0
3.286250,5.104626,8.390876,3.234485,41.379400,5.821857,17.417275,9.056342,47.173955,0,0
0.889290,6.772750,7.662040,3.165508,41.379400,5.849825,17.417275,9.015333,47.173955,0,0
0.980897,7.429589,8.410486,3.103091,41.379400,5.894961,17.417275,8.998051,47.173955,0,0
2.578173,6.755473,9.333646,3.088510,41.379400,5.918864,17.417275,9.007373,47.173955,0,0
1.133854,8.942201,10.076055,3.035681,41.379400,6.000576,17.417275,9.036257,47.173955,0,0
1.530204,8.578831,10.109035,2.996063,41.379400,6.068424,17.417275,9.064488,47.173955,0,0
2.777978,5.509496,8.287474,2.990471,41.379400,6.054093,17.417275,9.044564,47.173955,0,0
0.765667,5.896663,6.662330,2.934851,41.379400,6.050157,17.417275,8.985008,47.173955,0,0
0.745631,4.981225,5.726856,2.881456,41.379400,6.024086,17.417275,8.905541,47.173955,0,0
2.803329,2.044254,4.847583,2.879596,41.379400,5.929328,17.417275,8.808923,47.173955,0,0
0.436442,19.501104,19.937546,2.822778,41.379400,6.244950,19.501104,9.067728,47.173955,0,0
