capture_to_processing_ms,processing_to_display_ms,end_to_end_latency_ms,capture_to_processing_avg_ms,capture_to_processing_worst_ms,processing_to_display_avg_ms,processing_to_display_worst_ms,end_to_end_avg_ms,end_to_end_worst_ms,dropped_audio_samples,missed_beat_detections
41.069136,4.581959,45.651095,41.069136,41.069136,4.581959,4.581959,45.651095,45.651095,0,0
1.142217,4.003166,5.145383,21.105677,41.069136,4.292563,4.581959,25.398239,45.651095,0,0
0.988260,1.628384,2.616644,14.399871,41.069136,3.404503,4.581959,17.804374,45.651095,0,0
1.059701,1.318211,2.377912,11.064829,41.069136,2.882930,4.581959,13.947758,45.651095,0,0
1.619421,6.126754,7.746175,9.175747,41.069136,3.531695,6.126754,12.707442,45.651095,0,0
1.550757,4.767267,6.318024,7.904915,41.069136,3.737624,6.126754,11.642539,45.651095,0,0
1.458964,5.644234,7.103198,6.984065,41.069136,4.009996,6.126754,10.994062,45.651095,0,0
1.068479,2.142494,3.210973,6.244617,41.069136,3.776559,6.126754,10.021176,45.651095,0,0
2.765137,7.152623,9.917760,5.858008,41.069136,4.151677,7.152623,10.009685,45.651095,0,0
3.388281,3.484315,6.872596,5.611035,41.069136,4.084941,7.152623,9.695976,45.651095,0,0
1.374134,4.638661,6.012795,5.225862,41.069136,4.135279,7.152623,9.361141,45.651095,0,0
0.950613,1.537258,2.487871,4.869592,41.069136,3.918777,7.152623,8.788369,45.651095,0,0
1.423965,7.861115,9.285080,4.604543,41.069136,4.222034,7.861115,8.826577,45.651095,0,0
1.572571,4.420762,5.993333,4.387974,41.069136,4.236229,7.861115,8.624203,45.651095,0,0
1.245768,0.894078,2.139846,4.178494,41.069136,4.013419,7.861115,8.191912,45.651095,0,0
1.256008,8.329635,9.585643,3.995838,41.069136,4.283182,8.329635,8.279021,45.651095,0,0
1.433520,5.371856,6.805376,3.845114,41.069136,4.347222,8.329635,8.192336,45.651095,0,0
1.463445,3.440131,4.903576,3.712799,41.069136,4.296828,8.329635,8.009627,45.651095,0,0
1.181067,0.900856,2.081923,3.579550,41.069136,4.118093,8.329635,7.697642,45.651095,0,0
1.215973,9.391465,10.607438,3.461371,41.069136,4.381761,9.391465,7.843132,45.651095,0,0
0.686567,4.865708,5.552275,3.329237,41.069136,4.404806,9.391465,7.734044,45.651095,0,0
1.524870,1.965575,3.490445,3.247221,41.069136,4.293932,9.391465,7.541153,45.651095,0,0
0.919299,0.412837,1.332136,3.146007,41.069136,4.125189,9.391465,7.271196,45.651095,0,0
1.199492,6.368726,7.568218,3.064902,41.069136,4.218670,9.391465,7.283571,45.651095,0,0
1.300396,4.506795,5.807191,2.994322,41.069136,4.230195,9.391465,7.224516,45.651095,0,0
2.926243,3.078663,6.004906,2.991703,41.069136,4.185905,9.391465,7.177608,45.651095,0,0
1.200122,3.669808,4.869930,2.925348,41.069136,4.166790,9.391465,7.092139,45.651095,0,0
1.484686,0.402244,1.886930,2.873896,41.069136,4.032342,9.391465,6.906238,45.651095,0,0
1.957982,7.624161,9.582143,2.842313,41.069136,4.156198,9.391465,6.998511,45.651095,0,0
1.212955,4.439483,5.652438,2.788001,41.069136,4.165641,9.391465,6.953642,45.651095,0,0
1.199492,3.725399,4.924891,2.736759,41.069136,4.151439,9.391465,6.888198,45.651095,0,0
1.067257,9.090384,10.157641,2.684587,41.069136,4.305781,9.391465,6.990368,45.651095,0,0
1.261398,5.242583,6.503981,2.641460,41.069136,4.334169,9.391465,6.975629,45.651095,0,0
1.526814,3.248583,4.775397,2.608676,41.069136,4.302240,9.391465,6.910917,45.651095,0,0
1.190215,0.720825,1.911040,2.568149,41.069136,4.199914,9.391465,6.768063,45.651095,0,0
1.485111,6.768952,8.254063,2.538064,41.069136,4.271276,9.391465,6.809341,45.651095,0,0
2.859746,0.394059,3.253805,2.546758,41.069136,4.166487,9.391465,6.713245,45.651095,0,0
1.610922,3.501129,5.112051,2.522131,41.069136,4.148977,9.391465,6.671108,45.651095,0,0
1.914151,0.371116,2.285267,2.506542,41.069136,4.052109,9.391465,6.558651,45.651095,0,0
1.247047,7.462630,8.709677,2.475055,41.069136,4.137372,9.391465,6.612427,45.651095,0,0
0.968334,3.986296,4.954630,2.438305,41.069136,4.133687,9.391465,6.571993,45.651095,0,0
1.726640,1.245602,2.972242,2.421361,41.069136,4.064923,9.391465,6.486284,45.651095,0,0
0.860301,0.792359,1.652660,2.385057,41.069136,3.988817,9.391465,6.373874,45.651095,0,0
1.001426,7.532461,8.533887,2.353611,41.069136,4.069355,9.391465,6.422966,45.651095,0,0
2.924596,5.957852,8.882448,2.366300,41.069136,4.111321,9.391465,6.477621,45.651095,0,0
0.659568,25.221693,25.881261,2.329197,41.069136,4.570242,25.221693,6.899439,45.651095,0,0
3.687159,6.940150,10.627309,2.358089,41.069136,4.620666,25.221693,6.978755,45.651095,0,0
4.312321,5.187641,9.499962,2.398803,41.069136,4.632478,25.221693,7.031281,45.651095,0,0
1.313488,4.437484,5.750972,2.376653,41.069136,4.628498,25.221693,7.005152,45.651095,0,0
0.825396,6.377133,7.202529,2.345628,41.069136,4.663471,25.221693,7.009099,45.651095,0,0
1.107848,6.655030,7.762878,2.321358,41.069136,4.702521,25.221693,7.023879,45.651095,0,0
0.850783,5.191344,6.042127,2.293078,41.069136,4.711922,25.221693,7.004999,45.651095,0,0
1.058035,3.390188,4.448223,2.269775,41.069136,4.686983,25.221693,6.956758,45.651095,0,0
2.638420,7.558831,10.197251,2.276602,41.069136,4.740166,25.221693,7.016768,45.651095,0,0
0.890319,24.290727,25.181046,2.251397,41.069136,5.095630,25.221693,7.347027,45.651095,0,0
1.245713,2.241343,3.487056,2.233438,41.069136,5.044661,25.221693,7.278099,45.651095,0,0
1.881727,10.051404,11.933131,2.227268,41.069136,5.132499,25.221693,7.359766,45.651095,0,0
1.961168,1.553572,3.514740,2.222680,41.069136,5.070793,25.221693,7.293473,45.651095,0,0
3.616885,1.832247,5.449132,2.246310,41.069136,5.015902,25.221693,7.262213,45.651095,0,0
4.059609,1.422892,5.482501,2.276532,41.069136,4.956019,25.221693,7.232551,45.651095,0,0
2.507870,0.169105,2.676975,2.280324,41.069136,4.877545,25.221693,7.157869,45.651095,0,0
9.254361,0.127995,9.382356,2.392809,41.069136,4.800939,25.221693,7.193748,45.651095,0,0
0.896226,6.125236,7.021462,2.369054,41.069136,4.821960,25.221693,7.191013,45.651095,0,0
1.456817,5.711084,7.167901,2.354800,41.069136,4.835852,25.221693,7.190652,45.651095,0,0
0.933372,8.545258,9.478630,2.332932,41.069136,4.892920,25.221693,7.225852,45.651095,0,0
2.644402,3.037221,5.681623,2.337651,41.069136,4.864804,25.221693,7.202455,45.651095,0,0
0.552053,3.319322,3.871375,2.311000,41.069136,4.841737,25.221693,7.152737,45.651095,0,0
1.672031,6.379448,8.051479,2.301604,41.069136,4.864350,25.221693,7.165954,45.651095,0,0
1.045073,2.119940,3.165013,2.283393,41.069136,4.824576,25.221693,7.107969,45.651095,0,0
0.918337,3.801618,4.719955,2.263892,41.069136,4.809962,25.221693,7.073855,45.651095,0,0
0.402356,2.334561,2.736917,2.237673,41.069136,4.775097,25.221693,7.012771,45.651095,0,0
2.865190,6.755342,9.620532,2.246389,41.069136,4.802601,25.221693,7.048990,45.651095,0,0
0.943798,6.315877,7.259675,2.228545,41.069136,4.823331,25.221693,7.051876,45.651095,0,0
0.938520,7.584849,8.523369,2.211112,41.069136,4.860649,25.221693,7.071761,45.651095,0,0
1.189215,13.689937,14.879152,2.197487,41.069136,4.978372,25.221693,7.175860,45.651095,0,0
13.813155,0.816044,14.629199,2.350325,41.069136,4.923605,25.221693,7.273930,45.651095,0,0
2.066350,3.847302,5.913652,2.346637,41.069136,4.909627,25.221693,7.256264,45.651095,0,0
1.158975,12.302452,13.461427,2.331411,41.069136,5.004407,25.221693,7.335817,45.651095,0,0
1.271101,3.199030,4.470131,2.317989,41.069136,4.981554,25.221693,7.299543,45.651095,0,0
0.902040,9.670475,10.572515,2.300290,41.069136,5.040165,25.221693,7.340455,45.651095,0,0
1.579275,6.304174,7.883449,2.291388,41.069136,5.055770,25.221693,7.347158,45.651095,0,0
1.317358,1.711011,3.028369,2.279510,41.069136,5.014981,25.221693,7.294490,45.651095,0,0
1.271601,0.718881,1.990482,2.267366,41.069136,4.963220,25.221693,7.230587,45.651095,0,0
0.906133,6.104051,7.010184,2.251161,41.069136,4.976802,25.221693,7.227963,45.651095,0,0
2.087923,6.055702,8.143625,2.249241,41.069136,4.989495,25.221693,7.238735,45.651095,0,0
1.684512,6.570868,8.255380,2.242674,41.069136,5.007883,25.221693,7.250557,45.651095,0,0
1.185919,3.895116,5.081035,2.230527,41.069136,4.995092,25.221693,7.225620,45.651095,0,0
1.157513,4.693475,5.850988,2.218334,41.069136,4.991665,25.221693,7.209999,45.651095,0,0
1.576219,6.148273,7.724492,2.211119,41.069136,5.004660,25.221693,7.215780,45.651095,0,0
3.711548,1.294989,5.006537,2.227791,41.069136,4.963442,25.221693,7.191233,45.651095,0,0
7.760676,3.205363,10.966039,2.288592,41.069136,4.944122,25.221693,7.232714,45.651095,0,0
1.312673,7.213808,8.526481,2.277984,41.069136,4.968793,25.221693,7.246777,45.651095,0,0
3.018740,4.739047,7.757787,2.285949,41.069136,4.966322,25.221693,7.252271,45.651095,0,0
5.324692,1.910856,7.235548,2.318276,41.069136,4.933817,25.221693,7.252093,45.651095,0,0
1.137828,9.291361,10.429189,2.305850,41.069136,4.979686,25.221693,7.285537,45.651095,0,0
1.009222,6.089589,7.098811,2.292344,41.069136,4.991248,25.221693,7.283592,45.651095,0,0
0.804174,5.921077,6.725251,2.277002,41.069136,5.000834,25.221693,7.277835,45.651095,0,0
1.397097,2.613977,4.011074,2.268023,41.069136,4.976478,25.221693,7.244501,45.651095,0,0
5.570368,1.499223,7.069591,2.301380,41.069136,4.941354,25.221693,7.242734,45.651095,0,0
0.892227,5.455909,6.348136,2.287289,41.069136,4.946500,25.221693,7.233788,45.651095,0,0
1.207566,10.933763,12.141329,2.276598,41.069136,5.005780,25.221693,7.282378,45.651095,0,0
1.023499,3.639866,4.663365,2.264313,41.069136,4.992388,25.221693,7.256701,45.651095,0,0
1.584460,8.840081,10.424541,2.257712,41.069136,5.029745,25.221693,7.287457,45.651095,0,0
2.312359,5.559220,7.871579,2.258238,41.069136,5.034836,25.221693,7.293074,45.651095,0,0
1.402689,4.470298,5.872987,2.250090,41.069136,5.029459,25.221693,7.279549,45.651095,0,0
2.363135,0.594219,2.957354,2.251156,41.069136,4.987617,25.221693,7.238774,45.651095,0,0
1.170475,0.196419,1.366894,2.241056,41.069136,4.942840,25.221693,7.183896,45.651095,0,0
1.417855,5.374634,6.792489,2.233434,41.069136,4.946838,25.221693,7.180272,45.651095,0,0
2.764121,0.901392,3.665513,2.238303,41.069136,4.909724,25.221693,7.148026,45.651095,0,0
5.514944,5.346284,10.861228,2.268091,41.069136,4.913692,25.221693,7.181783,45.651095,0,0
6.478593,0.212437,6.691030,2.306023,41.069136,4.871339,25.221693,7.177362,45.651095,0,0
1.258842,3.368580,4.627422,2.296673,41.069136,4.857921,25.221693,7.154594,45.651095,0,0
0.992315,0.954891,1.947206,2.285130,41.069136,4.823381,25.221693,7.108511,45.651095,0,0
1.446465,6.165216,7.611681,2.277773,41.069136,4.835152,25.221693,7.112925,45.651095,0,0
2.248251,2.778989,5.027240,2.277517,41.069136,4.817272,25.221693,7.094789,45.651095,0,0
1.408929,0.987223,2.396152,2.270029,41.069136,4.784254,25.221693,7.054283,45.651095,0,0
1.675087,6.500519,8.175606,2.264944,41.069136,4.798923,25.221693,7.063867,45.651095,0,0
1.327932,7.319878,8.647810,2.257003,41.069136,4.820287,25.221693,7.077290,45.651095,0,0
1.447743,6.911300,8.359043,2.250203,41.069136,4.837859,25.221693,7.088061,45.651095,0,0
