capture_to_processing_ms,processing_to_display_ms,end_to_end_latency_ms,capture_to_processing_avg_ms,capture_to_processing_worst_ms,processing_to_display_avg_ms,processing_to_display_worst_ms,end_to_end_avg_ms,end_to_end_worst_ms,dropped_audio_samples,missed_beat_detections
40.688209,3.878712,44.566921,40.688209,40.688209,3.878712,3.878712,44.566921,44.566921,0,0
1.103558,6.554906,7.658464,20.895884,40.688209,5.216809,6.554906,26.112693,44.566921,0,0
0.979784,5.789653,6.769437,14.257184,40.688209,5.407757,6.554906,19.664941,44.566921,0,0
1.077559,3.273824,4.351383,10.962277,40.688209,4.874274,6.554906,15.836551,44.566921,0,0
1.612523,8.268501,9.881024,9.092327,40.688209,5.553119,8.268501,14.645446,44.566921,0,0
1.571507,5.353925,6.925432,7.838857,40.688209,5.519920,8.268501,13.358777,44.566921,0,0
1.452825,2.285336,3.738161,6.926566,40.688209,5.057837,8.268501,11.984403,44.566921,0,0
1.198462,7.176702,8.375164,6.210553,40.688209,5.322695,8.268501,11.533248,44.566921,0,0
1.499898,3.666737,5.166635,5.687147,40.688209,5.138700,8.268501,10.825847,44.566921,0,0
2.836948,0.471467,3.308415,5.402127,40.688209,4.671976,8.268501,10.074104,44.566921,0,0
1.304792,3.733791,5.038583,5.029642,40.688209,4.586687,8.268501,9.616329,44.566921,0,0
0.898769,1.098836,1.997605,4.685403,40.688209,4.296032,8.268501,8.981435,44.566921,0,0
1.373605,9.934801,11.308406,4.430649,40.688209,4.729784,9.934801,9.160433,44.566921,0,0
1.423678,6.752308,8.175986,4.215865,40.688209,4.874250,9.934801,9.090115,44.566921,0,0
1.245146,5.471200,6.716346,4.017818,40.688209,4.914047,9.934801,8.931864,44.566921,0,0
1.260627,1.248517,2.509144,3.845493,40.688209,4.684951,9.934801,8.530444,44.566921,0,0
1.436955,6.845120,8.282075,3.703814,40.688209,4.812020,9.934801,8.515834,44.566921,0,0
1.454936,7.376622,8.831558,3.578877,40.688209,4.954498,9.934801,8.533374,44.566921,0,0
1.788611,4.380345,6.168956,3.484652,40.688209,4.924279,9.934801,8.408931,44.566921,0,0
1.282053,4.888940,6.170993,3.374522,40.688209,4.922512,9.934801,8.297034,44.566921,0,0
1.307089,4.008986,5.316075,3.276073,40.688209,4.879011,9.934801,8.155084,44.566921,0,0
1.751094,4.177518,5.928612,3.206756,40.688209,4.847125,9.934801,8.053881,44.566921,0,0
1.178241,4.020967,5.199208,3.118560,40.688209,4.811205,9.934801,7.929764,44.566921,0,0
1.242424,4.735482,5.977906,3.040387,40.688209,4.808050,9.934801,7.848437,44.566921,0,0
1.365236,0.053998,1.419234,2.973381,40.688209,4.617888,9.934801,7.591269,44.566921,0,0
1.200111,0.616721,1.816832,2.905178,40.688209,4.463997,9.934801,7.369175,44.566921,0,0
1.509212,5.723025,7.232237,2.853476,40.688209,4.510627,9.934801,7.364103,44.566921,0,0
1.192389,3.537186,4.729575,2.794151,40.688209,4.475862,9.934801,7.270013,44.566921,0,0
0.952414,0.584352,1.536766,2.730643,40.688209,4.341672,9.934801,7.072315,44.566921,0,0
1.262350,5.997239,7.259589,2.681700,40.688209,4.396857,9.934801,7.078557,44.566921,0,0
1.594580,4.184962,5.779542,2.646632,40.688209,4.390022,9.934801,7.036654,44.566921,0,0
2.526847,2.734322,5.261169,2.642888,40.688209,4.338281,9.934801,6.981170,44.566921,0,0
1.202111,0.886972,2.089083,2.599229,40.688209,4.233696,9.934801,6.832925,44.566921,0,0
0.847603,5.701378,6.548981,2.547710,40.688209,4.276863,9.934801,6.824573,44.566921,0,0
1.643763,5.057435,6.701198,2.521883,40.688209,4.299165,9.934801,6.821048,44.566921,0,0
0.973877,1.927792,2.901669,2.478883,40.688209,4.233294,9.934801,6.712177,44.566921,0,0
1.260460,9.296766,10.557226,2.445953,40.688209,4.370144,9.934801,6.816097,44.566921,0,0
2.652250,3.660867,6.313117,2.451381,40.688209,4.351479,9.934801,6.802861,44.566921,0,0
1.622135,3.696200,5.318335,2.430119,40.688209,4.334677,9.934801,6.764796,44.566921,0,0
1.272275,0.848659,2.120934,2.401173,40.688209,4.247527,9.934801,6.648699,44.566921,0,0
1.147280,5.631121,6.778401,2.370590,40.688209,4.281273,9.934801,6.651863,44.566921,0,0
1.100670,4.218739,5.319409,2.340354,40.688209,4.279784,9.934801,6.620138,44.566921,0,0
1.361605,0.091757,1.453362,2.317592,40.688209,4.182388,9.934801,6.499980,44.566921,0,0
1.230407,9.394967,10.625374,2.292883,40.688209,4.300856,9.934801,6.593739,44.566921,0,0
2.695324,3.435337,6.130661,2.301826,40.688209,4.281622,9.934801,6.583449,44.566921,0,0
19.086943,2.878411,21.965354,2.666720,40.688209,4.251117,9.934801,6.917838,44.566921,0,0
1.722909,2.960501,4.683410,2.646639,40.688209,4.223658,9.934801,6.870297,44.566921,0,0
