capture_to_processing_ms,processing_to_display_ms,end_to_end_latency_ms,capture_to_processing_avg_ms,capture_to_processing_worst_ms,processing_to_display_avg_ms,processing_to_display_worst_ms,end_to_end_avg_ms,end_to_end_worst_ms,dropped_audio_samples,missed_beat_detections
41.370968,3.621794,44.992762,41.370968,41.370968,3.621794,3.621794,44.992762,44.992762,0,0
1.168432,0.607688,1.776120,21.269700,41.370968,2.114741,3.621794,23.384441,44.992762,0,0
0.982530,6.965984,7.948514,14.507310,41.370968,3.731822,6.965984,18.239132,44.992762,0,0
1.091731,5.278805,6.370536,11.153415,41.370968,4.118568,6.965984,15.271983,44.992762,0,0
1.204895,2.729391,3.934286,9.163711,41.370968,3.840732,6.965984,13.004444,44.992762,0,0
1.381501,0.743702,2.125203,7.866676,41.370968,3.324561,6.965984,11.191237,44.992762,0,0
3.548073,3.943841,7.491914,7.249733,41.370968,3.413029,6.965984,10.662762,44.992762,0,0
1.101712,2.450954,3.552666,6.481230,41.370968,3.292770,6.965984,9.774000,44.992762,0,0
1.403241,7.519154,8.922395,5.917009,41.370968,3.762368,7.519154,9.679377,44.992762,0,0
1.343761,5.991658,7.335419,5.459684,41.370968,3.985297,7.519154,9.444981,44.992762,0,0
1.419777,4.154391,5.574168,5.092420,41.370968,4.000669,7.519154,9.093089,44.992762,0,0
0.973215,1.060584,2.033799,4.749153,41.370968,3.755662,7.519154,8.504815,44.992762,0,0
1.341687,1.280596,2.622283,4.487040,41.370968,3.565272,7.519154,8.052313,44.992762,0,0
1.574348,6.463811,8.038159,4.278991,41.370968,3.772311,7.519154,8.051302,44.992762,0,0
1.322669,4.492919,5.815588,4.081903,41.370968,3.820351,7.519154,7.902254,44.992762,0,0
1.273282,1.353909,2.627191,3.906364,41.370968,3.666199,7.519154,7.572563,44.992762,0,0
1.700196,6.682269,8.382465,3.776589,41.370968,3.843615,7.519154,7.620204,44.992762,0,0
1.648661,6.181189,7.829850,3.658371,41.370968,3.973480,7.519154,7.631851,44.992762,0,0
1.853007,4.347423,6.200430,3.563352,41.370968,3.993161,7.519154,7.556513,44.992762,0,0
1.283910,2.672801,3.956711,3.449380,41.370968,3.927143,7.519154,7.376523,44.992762,0,0
1.409778,0.783980,2.193758,3.352256,41.370968,3.777469,7.519154,7.129725,44.992762,0,0
