capture_to_processing_ms,processing_to_display_ms,end_to_end_latency_ms,capture_to_processing_avg_ms,capture_to_processing_worst_ms,processing_to_display_avg_ms,processing_to_display_worst_ms,end_to_end_avg_ms,end_to_end_worst_ms,dropped_audio_samples,missed_beat_detections
41.271817,5.784320,47.056137,41.271817,41.271817,5.784320,5.784320,47.056137,47.056137,0,0
1.095181,3.110470,4.205651,21.183499,41.271817,4.447395,5.784320,25.630894,47.056137,0,0
5.110946,6.138497,11.249443,15.825981,41.271817,5.011096,6.138497,20.837077,47.056137,0,0
1.095125,7.640577,8.735702,12.143267,41.271817,5.668466,7.640577,17.811733,47.056137,0,0
1.149846,4.123763,5.273609,9.944583,41.271817,5.359525,7.640577,15.304108,47.056137,0,0
1.356767,2.828014,4.184781,8.513280,41.271817,4.937607,7.640577,13.450887,47.056137,0,0
3.423575,8.140899,11.564474,7.786180,41.271817,5.395220,8.140899,13.181400,47.056137,0,0
1.084829,7.462561,8.547390,6.948511,41.271817,5.653638,8.140899,12.602148,47.056137,0,0
1.349656,5.576492,6.926148,6.326416,41.271817,5.645066,8.140899,11.971482,47.056137,0,0
2.673313,4.540402,7.213715,5.961105,41.271817,5.534599,8.140899,11.495705,47.056137,0,0
1.626631,5.336163,6.962794,5.567062,41.271817,5.516560,8.140899,11.083622,47.056137,0,0
1.047052,2.828032,3.875084,5.190395,41.271817,5.292516,8.140899,10.482911,47.056137,0,0
2.993010,0.144034,3.137044,5.021365,41.271817,4.896479,8.140899,9.917844,47.056137,0,0
1.521893,0.722373,2.244266,4.771403,41.271817,4.598328,8.140899,9.369731,47.056137,0,0
1.260010,1.639372,2.899382,4.537310,41.271817,4.401065,8.140899,8.938375,47.056137,0,0
1.468376,7.286288,8.754664,4.345502,41.271817,4.581391,8.140899,8.926893,47.056137,0,0
1.264417,6.639284,7.903701,4.164261,41.271817,4.702444,8.140899,8.866705,47.056137,0,0
1.109773,3.417167,4.526940,3.994568,41.271817,4.631039,8.140899,8.625607,47.056137,0,0
1.526579,9.834696,11.361275,3.864673,41.271817,4.904916,9.834696,8.769589,47.056137,0,0
1.273713,5.888522,7.162235,3.735125,41.271817,4.954096,9.834696,8.689222,47.056137,0,0
1.252362,2.865642,4.118004,3.616899,41.271817,4.854646,9.834696,8.471545,47.056137,0,0
1.251269,0.675079,1.926348,3.509370,41.271817,4.664666,9.834696,8.174036,47.056137,0,0
1.256011,5.297960,6.553971,3.411398,41.271817,4.692200,9.834696,8.103598,47.056137,0,0
1.274158,4.526273,5.800431,3.322346,41.271817,4.685287,9.834696,8.007633,47.056137,0,0
0.863389,0.470212,1.333601,3.223988,41.271817,4.516684,9.834696,7.740672,47.056137,0,0
2.988343,5.369015,8.357358,3.214925,41.271817,4.549466,9.834696,7.764390,47.056137,0,0
1.669334,4.387166,6.056500,3.157681,41.271817,4.543455,9.834696,7.701135,47.056137,0,0
1.273565,1.779018,3.052583,3.090391,41.271817,4.444725,9.834696,7.535115,47.056137,0,0
1.911237,7.939941,9.851178,3.049730,41.271817,4.565249,9.834696,7.614980,47.056137,0,0
1.268565,6.288143,7.556708,2.990358,41.271817,4.622679,9.834696,7.613037,47.056137,0,0
1.605725,2.684646,4.290371,2.945692,41.271817,4.560162,9.834696,7.505854,47.056137,0,0
