capture_to_processing_ms,processing_to_display_ms,end_to_end_latency_ms,capture_to_processing_avg_ms,capture_to_processing_worst_ms,processing_to_display_avg_ms,processing_to_display_worst_ms,end_to_end_avg_ms,end_to_end_worst_ms,dropped_audio_samples,missed_beat_detections
41.336562,5.265110,46.601672,41.336562,41.336562,5.265110,5.265110,46.601672,46.601672,0,0
0.998649,2.218535,3.217184,21.167606,41.336562,3.741823,5.265110,24.909428,46.601672,0,0
1.003667,11.783513,12.787180,14.446293,41.336562,6.422386,11.783513,20.868679,46.601672,0,0
1.033186,1.310698,2.343884,11.093016,41.336562,5.144464,11.783513,16.237480,46.601672,0,0
1.127980,6.299925,7.427905,9.100009,41.336562,5.375556,11.783513,14.475565,46.601672,0,0
1.368198,2.179368,3.547566,7.811374,41.336562,4.842858,11.783513,12.654232,46.601672,0,0
3.531900,6.316962,9.848862,7.200020,41.336562,5.053444,11.783513,12.253465,46.601672,0,0
1.524788,4.700731,6.225519,6.490616,41.336562,5.009355,11.783513,11.499972,46.601672,0,0
1.877096,1.237163,3.114259,5.978003,41.336562,4.590223,11.783513,10.568226,46.601672,0,0
1.738877,7.381239,9.120116,5.554090,41.336562,4.869324,11.783513,10.423415,46.601672,0,0
1.837597,5.221518,7.059115,5.216227,41.336562,4.901342,11.783513,10.117569,46.601672,0,0
1.300588,2.126185,3.426773,4.889924,41.336562,4.670079,11.783513,9.560003,46.601672,0,0
1.885004,7.683752,9.568756,4.658776,41.336562,4.901900,11.783513,9.560676,46.601672,0,0
1.935651,8.065301,10.000952,4.464267,41.336562,5.127857,11.783513,9.592124,46.601672,0,0
1.613490,5.344498,6.957988,4.274216,41.336562,5.142300,11.783513,9.416515,46.601672,0,0
1.261885,3.036390,4.298275,4.085945,41.336562,5.010680,11.783513,9.096625,46.601672,0,0
1.281663,2.467419,3.749082,3.920987,41.336562,4.861077,11.783513,8.782064,46.601672,0,0
1.409179,0.062054,1.471233,3.781442,41.336562,4.594464,11.783513,8.375907,46.601672,0,0
1.674340,5.374442,7.048782,3.670542,41.336562,4.635516,11.783513,8.306058,46.601672,0,0
1.214200,4.931302,6.145502,3.547725,41.336562,4.650305,11.783513,8.198030,46.601672,0,0
1.344032,0.837244,2.181276,3.442787,41.336562,4.468731,11.783513,7.911518,46.601672,0,0
1.761969,0.086980,1.848949,3.366386,41.336562,4.269560,11.783513,7.635947,46.601672,0,0
0.937409,8.893713,9.831122,3.260779,41.336562,4.470611,11.783513,7.731389,46.601672,0,0
1.194460,6.226093,7.420553,3.174682,41.336562,4.543756,11.783513,7.718438,46.601672,0,0
0.834930,4.821710,5.656640,3.081092,41.336562,4.554874,11.783513,7.635966,46.601672,0,0
1.365642,1.392050,2.757692,3.015113,41.336562,4.433227,11.783513,7.448340,46.601672,0,0
1.592509,1.363105,2.955614,2.962424,41.336562,4.319519,11.783513,7.281943,46.601672,0,0
1.423382,7.013264,8.436646,2.907458,41.336562,4.415724,11.783513,7.323182,46.601672,0,0
2.873375,2.262997,5.136372,2.906283,41.336562,4.341492,11.783513,7.247775,46.601672,0,0
1.331440,9.213077,10.544517,2.853788,41.336562,4.503878,11.783513,7.357666,46.601672,0,0
1.271848,8.009413,9.281261,2.802758,41.336562,4.616960,11.783513,7.419718,46.601672,0,0
0.843356,6.895100,7.738456,2.741527,41.336562,4.688152,11.783513,7.429678,46.601672,0,0
1.193923,6.937748,8.131671,2.694630,41.336562,4.756321,11.783513,7.450951,46.601672,0,0
0.850577,3.995559,4.846136,2.640393,41.336562,4.733946,11.783513,7.374339,46.601672,0,0
1.562157,3.955375,5.517532,2.609586,41.336562,4.711701,11.783513,7.321287,46.601672,0,0
0.886188,2.800821,3.687009,2.561714,41.336562,4.658621,11.783513,7.220335,46.601672,0,0
2.002372,0.847670,2.850042,2.546596,41.336562,4.555622,11.783513,7.102219,46.601672,0,0
1.680618,7.178354,8.858972,2.523808,41.336562,4.624642,11.783513,7.148449,46.601672,0,0
1.714525,5.122872,6.837397,2.503057,41.336562,4.637417,11.783513,7.140473,46.601672,0,0
1.118591,13.631888,14.750479,2.468445,41.336562,4.862278,13.631888,7.330724,46.601672,0,0
0.980371,2.200610,3.180981,2.432151,41.336562,4.797360,13.631888,7.229510,46.601672,0,0
1.062259,0.830244,1.892503,2.399534,41.336562,4.702905,13.631888,7.102439,46.601672,0,0
1.174313,5.071076,6.245389,2.371041,41.336562,4.711467,13.631888,7.082507,46.601672,0,0
1.425827,2.996317,4.422144,2.349558,41.336562,4.672486,13.631888,7.022044,46.601672,0,0
0.683821,2.591009,3.274830,2.312542,41.336562,4.626231,13.631888,6.938773,46.601672,0,0
2.100130,11.321633,13.421763,2.307924,41.336562,4.771783,13.631888,7.079708,46.601672,0,0
0.806671,7.705974,8.512645,2.275983,41.336562,4.834213,13.631888,7.110196,46.601672,0,0
1.898911,9.382537,11.281448,2.268127,41.336562,4.928970,13.631888,7.197097,46.601672,0,0
0.826134,9.239280,10.065414,2.238699,41.336562,5.016935,13.631888,7.255634,46.601672,0,0
1.265959,8.187837,9.453796,2.219244,41.336562,5.080353,13.631888,7.299597,46.601672,0,0
1.105610,4.098372,5.203982,2.197408,41.336562,5.061099,13.631888,7.258507,46.601672,0,0
1.174608,1.211238,2.385846,2.177739,41.336562,4.987063,13.631888,7.164802,46.601672,0,0
1.271533,9.964231,11.235764,2.160641,41.336562,5.080972,13.631888,7.241612,46.601672,0,0
4.492846,34.898161,39.391007,2.203830,41.336562,5.633142,34.898161,7.836971,46.601672,0,0
1.084407,9.318390,10.402797,2.183476,41.336562,5.700146,34.898161,7.883623,46.601672,0,0
3.636177,6.505366,10.141543,2.209418,41.336562,5.714525,34.898161,7.923943,46.601672,0,0
1.487363,2.030464,3.517827,2.196750,41.336562,5.649893,34.898161,7.846642,46.601672,0,0
1.624971,3.675658,5.300629,2.186892,41.336562,5.615854,34.898161,7.802746,46.601672,0,0
1.122369,0.818559,1.940928,2.168849,41.336562,5.534544,34.898161,7.703393,46.601672,0,0
1.237293,7.865176,9.102469,2.153323,41.336562,5.573388,34.898161,7.726711,46.601672,0,0
1.423327,9.685236,11.108563,2.141356,41.336562,5.640795,34.898161,7.782151,46.601672,0,0
1.366976,8.689068,10.056044,2.128866,41.336562,5.689961,34.898161,7.818827,46.601672,0,0
1.142554,7.661420,8.803974,2.113210,41.336562,5.721254,34.898161,7.834464,46.601672,0,0
1.564028,7.931193,9.495221,2.104629,41.336562,5.755784,34.898161,7.860413,46.601672,0,0
1.426400,6.206243,7.632643,2.094195,41.336562,5.762714,34.898161,7.856909,46.601672,0,0
3.614177,6.194816,9.808993,2.117225,41.336562,5.769261,34.898161,7.886486,46.601672,0,0
0.926299,8.437091,9.363390,2.099450,41.336562,5.809080,34.898161,7.908529,46.601672,0,0
1.313495,7.058986,8.372481,2.087892,41.336562,5.827461,34.898161,7.915352,46.601672,0,0
1.564602,4.779694,6.344296,2.080308,41.336562,5.812276,34.898161,7.892583,46.601672,0,0
1.487030,6.503051,7.990081,2.071832,41.336562,5.822144,34.898161,7.893976,46.601672,0,0
1.121887,6.732437,7.854324,2.058453,41.336562,5.834965,34.898161,7.893418,46.601672,0,0
1.139905,7.936249,9.076154,2.045695,41.336562,5.864149,34.898161,7.909845,46.601672,0,0
3.993744,4.004541,7.998285,2.072381,41.336562,5.838675,34.898161,7.911056,46.601672,0,0
5.794768,16.024568,21.819336,2.122683,41.336562,5.976322,34.898161,8.099006,46.601672,0,0
1.606898,3.816377,5.423275,2.115806,41.336562,5.947523,34.898161,8.063329,46.601672,0,0
3.741174,1.726063,5.467237,2.137193,41.336562,5.891978,34.898161,8.029170,46.601672,0,0
1.155999,3.494734,4.650733,2.124450,41.336562,5.860845,34.898161,7.985294,46.601672,0,0
2.806302,2.269923,5.076225,2.133192,41.336562,5.814807,34.898161,7.947999,46.601672,0,0
2.054112,1.956910,4.011022,2.132191,41.336562,5.765973,34.898161,7.898164,46.601672,0,0
2.381384,6.617772,8.999156,2.135305,41.336562,5.776621,34.898161,7.911926,46.601672,0,0
1.451123,3.309645,4.760768,2.126859,41.336562,5.746164,34.898161,7.873023,46.601672,0,0
1.108351,0.804560,1.912911,2.114438,41.336562,5.685901,34.898161,7.800339,46.601672,0,0
