capture_to_processing_ms,processing_to_display_ms,end_to_end_latency_ms,capture_to_processing_avg_ms,capture_to_processing_worst_ms,processing_to_display_avg_ms,processing_to_display_worst_ms,end_to_end_avg_ms,end_to_end_worst_ms,dropped_audio_samples,missed_beat_detections
41.753542,3.159306,44.912848,41.753542,41.753542,3.159306,3.159306,44.912848,44.912848,0,0
1.218538,6.215076,7.433614,21.486040,41.753542,4.687191,6.215076,26.173231,44.912848,0,0
0.998671,5.021149,6.019820,14.656917,41.753542,4.798510,6.215076,19.455427,44.912848,0,0
1.084670,4.488009,5.572679,11.263855,41.753542,4.720885,6.215076,15.984740,44.912848,0,0
1.127687,1.178909,2.306596,9.236622,41.753542,4.012490,6.215076,13.249111,44.912848,0,0
1.766197,6.358463,8.124660,7.991551,41.753542,4.403485,6.358463,12.395036,44.912848,0,0
3.488468,1.442756,4.931224,7.348253,41.753542,3.980524,6.358463,11.328777,44.912848,0,0
1.080892,3.034919,4.115811,6.564833,41.753542,3.862323,6.358463,10.427157,44.912848,0,0
1.401943,8.117604,9.519547,5.991179,41.753542,4.335132,8.117604,10.326311,44.912848,0,0
1.731012,3.894128,5.625140,5.565162,41.753542,4.291032,8.117604,9.856194,44.912848,0,0
1.359276,2.324356,3.683632,5.182809,41.753542,4.112243,8.117604,9.295052,44.912848,0,0
0.962819,0.857414,1.820233,4.831143,41.753542,3.841007,8.117604,8.672150,44.912848,0,0
1.423831,7.337375,8.761206,4.569042,41.753542,4.109959,8.117604,8.679001,44.912848,0,0
1.598681,3.928961,5.527642,4.356873,41.753542,4.097030,8.117604,8.453904,44.912848,0,0
1.282370,4.490657,5.773027,4.151906,41.753542,4.123272,8.117604,8.275179,44.912848,0,0
1.247908,3.946331,5.194239,3.970407,41.753542,4.112213,8.117604,8.082620,44.912848,0,0
1.244334,1.719364,2.963698,3.810049,41.753542,3.971457,8.117604,7.781507,44.912848,0,0
1.586459,7.741536,9.327995,3.686517,41.753542,4.180906,8.117604,7.867423,44.912848,0,0
