capture_to_processing_ms,processing_to_display_ms,end_to_end_latency_ms,capture_to_processing_avg_ms,capture_to_processing_worst_ms,processing_to_display_avg_ms,processing_to_display_worst_ms,end_to_end_avg_ms,end_to_end_worst_ms,dropped_audio_samples,missed_beat_detections
37.673962,4.029862,41.703824,37.673962,37.673962,4.029862,4.029862,41.703824,41.703824,0,0
1.150246,7.331250,8.481496,19.412104,37.673962,5.680556,7.331250,25.092660,41.703824,0,0
0.974323,4.449338,5.423661,13.266177,37.673962,5.270150,7.331250,18.536327,41.703824,0,0
1.137042,1.902905,3.039947,10.233893,37.673962,4.428339,7.331250,14.662232,41.703824,0,0
1.147320,0.180498,1.327818,8.416579,37.673962,3.578771,7.331250,11.995349,41.703824,0,0
1.697777,5.477494,7.175271,7.296778,37.673962,3.895224,7.331250,11.192003,41.703824,0,0
1.469372,4.431561,5.900933,6.464292,37.673962,3.971844,7.331250,10.436136,41.703824,0,0
1.090728,1.904830,2.995558,5.792596,37.673962,3.713467,7.331250,9.506064,41.703824,0,0
1.326651,1.644778,2.971429,5.296380,37.673962,3.483613,7.331250,8.779993,41.703824,0,0
2.589248,7.220771,9.810019,5.025667,37.673962,3.857329,7.331250,8.882996,41.703824,0,0
1.296078,5.334624,6.630702,4.686613,37.673962,3.991628,7.331250,8.678242,41.703824,0,0
1.253560,9.886925,11.140485,4.400526,37.673962,4.482903,9.886925,8.883429,41.703824,0,0
1.423984,6.900477,8.324461,4.171561,37.673962,4.668870,9.886925,8.840431,41.703824,0,0
1.557426,3.517535,5.074961,3.984837,37.673962,4.586632,9.886925,8.571469,41.703824,0,0
1.272115,0.849583,2.121698,3.803989,37.673962,4.337495,9.886925,8.141484,41.703824,0,0
1.777036,8.907677,10.684713,3.677304,37.673962,4.623132,9.886925,8.300436,41.703824,0,0
1.341837,9.256210,10.598047,3.539924,37.673962,4.895666,9.886925,8.435590,41.703824,0,0
1.572093,5.832156,7.404249,3.430600,37.673962,4.947693,9.886925,8.378293,41.703824,0,0
1.995477,4.351025,6.346502,3.355067,37.673962,4.916289,9.886925,8.271357,41.703824,0,0
1.324170,4.948147,6.272317,3.253522,37.673962,4.917882,9.886925,8.171405,41.703824,0,0
1.318985,4.926111,6.245096,3.161401,37.673962,4.918274,9.886925,8.079676,41.703824,0,0
1.766202,5.222737,6.988939,3.097983,37.673962,4.932113,9.886925,8.030097,41.703824,0,0
1.261042,3.951844,5.212886,3.018116,37.673962,4.889493,9.886925,7.907609,41.703824,0,0
1.488076,5.468290,6.956366,2.954365,37.673962,4.913609,9.886925,7.867974,41.703824,0,0
0.836787,11.242188,12.078975,2.869661,37.673962,5.166753,11.242188,8.036414,41.703824,0,0
1.416355,7.969984,9.386339,2.813765,37.673962,5.274569,11.242188,8.088334,41.703824,0,0
1.607148,7.283437,8.890585,2.769076,37.673962,5.348972,11.242188,8.118047,41.703824,0,0
1.288338,5.577881,6.866219,2.716192,37.673962,5.357147,11.242188,8.073339,41.703824,0,0
1.027674,1.745777,2.773451,2.657967,37.673962,5.232617,11.242188,7.890584,41.703824,0,0
3.576015,6.447946,10.023961,2.688569,37.673962,5.273128,11.242188,7.961697,41.703824,0,0
1.715444,5.095683,6.811127,2.657178,37.673962,5.267404,11.242188,7.924582,41.703824,0,0
2.596341,3.575942,6.172283,2.655277,37.673962,5.214546,11.242188,7.869822,41.703824,0,0
1.235116,1.705833,2.940949,2.612241,37.673962,5.108221,11.242188,7.720463,41.703824,0,0
0.924212,9.346043,10.270255,2.562594,37.673962,5.232863,11.242188,7.795457,41.703824,0,0
1.792924,6.369058,8.161982,2.540603,37.673962,5.265326,11.242188,7.805929,41.703824,0,0
1.007988,4.248230,5.256218,2.498030,37.673962,5.237073,11.242188,7.735103,41.703824,0,0
1.296337,10.367994,11.664331,2.465552,37.673962,5.375747,11.242188,7.841299,41.703824,0,0
1.902885,6.481742,8.384627,2.450745,37.673962,5.404852,11.242188,7.855597,41.703824,0,0
1.765999,6.491112,8.257111,2.433188,37.673962,5.432705,11.242188,7.865892,41.703824,0,0
1.309818,6.684147,7.993965,2.405103,37.673962,5.463991,11.242188,7.869094,41.703824,0,0
1.816590,4.786076,6.602666,2.390749,37.673962,5.447456,11.242188,7.838205,41.703824,0,0
1.295004,2.126458,3.421462,2.364660,37.673962,5.368385,11.242188,7.733045,41.703824,0,0
1.484409,7.373046,8.857455,2.344189,37.673962,5.415005,11.242188,7.759194,41.703824,0,0
1.570019,5.821472,7.391491,2.326594,37.673962,5.424243,11.242188,7.750837,41.703824,0,0
1.143487,2.954670,4.098157,2.300303,37.673962,5.369363,11.242188,7.669666,41.703824,0,0
19.333652,28.179089,47.512741,2.670593,37.673962,5.865227,28.179089,8.535820,47.512741,0,0
1.550019,8.980880,10.530899,2.646751,37.673962,5.931517,28.179089,8.578269,47.512741,0,0
1.428854,0.583698,2.012552,2.621378,37.673962,5.820104,28.179089,8.441483,47.512741,0,0
0.790695,6.729553,7.520248,2.584018,37.673962,5.838665,28.179089,8.422682,47.512741,0,0
1.773313,15.289975,17.063288,2.567803,37.673962,6.027691,28.179089,8.595494,47.512741,0,0
1.032562,7.611563,8.644125,2.537701,37.673962,6.058747,28.179089,8.596448,47.512741,0,0
