capture_to_processing_ms,processing_to_display_ms,end_to_end_latency_ms,capture_to_processing_avg_ms,capture_to_processing_worst_ms,processing_to_display_avg_ms,processing_to_display_worst_ms,end_to_end_avg_ms,end_to_end_worst_ms,dropped_audio_samples,missed_beat_detections
37.458032,4.372239,41.830271,37.458032,37.458032,4.372239,4.372239,41.830271,41.830271,0,0
1.282674,7.770985,9.053659,19.370353,37.458032,6.071612,7.770985,25.441965,41.830271,0,0
1.038842,6.060501,7.099343,13.259849,37.458032,6.067908,7.770985,19.327758,41.830271,0,0
32.104765,1.121194,33.225959,17.971078,37.458032,4.831230,7.770985,22.802308,41.830271,0,0
1.543412,4.453885,5.997297,14.685545,37.458032,4.755761,7.770985,19.441306,41.830271,0,0
0.973120,10.116816,11.089936,12.400141,37.458032,5.649270,10.116816,18.049411,41.830271,0,0
1.564857,7.979113,9.543970,10.852243,37.458032,5.982105,10.116816,16.834348,41.830271,0,0
1.182416,5.232267,6.414683,9.643515,37.458032,5.888375,10.116816,15.531890,41.830271,0,0
1.711485,2.773086,4.484571,8.762178,37.458032,5.542232,10.116816,14.304410,41.830271,0,0
1.528801,9.668487,11.197288,8.038840,37.458032,5.954857,10.116816,13.993698,41.830271,0,0
1.338210,0.721493,2.059703,7.429692,37.458032,5.479097,10.116816,12.908789,41.830271,0,0
1.428801,8.833587,10.262388,6.929618,37.458032,5.758638,10.116816,12.688256,41.830271,0,0
1.575560,5.777207,7.352767,6.517767,37.458032,5.760066,10.116816,12.277833,41.830271,0,0
1.370562,4.445404,5.815966,6.150110,37.458032,5.666162,10.116816,11.816272,41.830271,0,0
1.425395,1.419561,2.844956,5.835129,37.458032,5.383055,10.116816,11.218184,41.830271,0,0
9.490600,0.389200,9.879800,6.063596,37.458032,5.070939,10.116816,11.134535,41.830271,0,0
0.973528,7.234824,8.208352,5.764180,37.458032,5.198226,10.116816,10.962406,41.830271,0,0
1.551579,5.602005,7.153584,5.530147,37.458032,5.220659,10.116816,10.750805,41.830271,0,0
2.393422,0.544773,2.938195,5.365056,37.458032,4.974559,10.116816,10.339615,41.830271,0,0
1.633671,9.360045,10.993716,5.178487,37.458032,5.193834,10.116816,10.372320,41.830271,0,0
1.880539,7.202472,9.083011,5.021441,37.458032,5.289483,10.116816,10.310925,41.830271,0,0
1.243562,3.934965,5.178527,4.849720,37.458032,5.227914,10.116816,10.077634,41.830271,0,0
1.220378,2.449811,3.670189,4.691922,37.458032,5.107127,10.116816,9.799049,41.830271,0,0
1.378840,9.085937,10.464777,4.553877,37.458032,5.272911,10.116816,9.826788,41.830271,0,0
2.824994,3.607356,6.432350,4.484722,37.458032,5.206289,10.116816,9.691010,41.830271,0,0
1.189453,3.106768,4.296221,4.357981,37.458032,5.125538,10.116816,9.483518,41.830271,0,0
1.231415,9.667376,10.898791,4.242182,37.458032,5.293754,10.116816,9.535936,41.830271,0,0
1.191119,5.747819,6.938938,4.133215,37.458032,5.309971,10.116816,9.443186,41.830271,0,0
9.007622,5.700838,14.708460,4.301298,37.458032,5.323449,10.116816,9.624747,41.830271,0,0
1.136601,3.024824,4.161425,4.195809,37.458032,5.246828,10.116816,9.442636,41.830271,0,0
1.264378,3.095861,4.360239,4.101246,37.458032,5.177442,10.116816,9.278688,41.830271,0,0
2.905177,8.269537,11.174714,4.063869,37.458032,5.274070,10.116816,9.337939,41.830271,0,0
1.837780,7.723875,9.561655,3.996412,37.458032,5.348306,10.116816,9.344718,41.830271,0,0
0.953528,4.471923,5.425451,3.906915,37.458032,5.322530,10.116816,9.229446,41.830271,0,0
1.284730,10.273926,11.558656,3.831996,37.458032,5.463999,10.273926,9.295995,41.830271,0,0
1.542430,7.925892,9.468322,3.768397,37.458032,5.532385,10.273926,9.300781,41.830271,0,0
1.410950,4.145407,5.556357,3.704682,37.458032,5.494899,10.273926,9.199581,41.830271,0,0
1.276136,3.735134,5.011270,3.640773,37.458032,5.448589,10.273926,9.089362,41.830271,0,0
1.153619,8.984512,10.138131,3.577000,37.458032,5.539254,10.273926,9.116254,41.830271,0,0
1.377636,6.103778,7.481414,3.522015,37.458032,5.553367,10.273926,9.075383,41.830271,0,0
1.701299,2.603699,4.304998,3.477608,37.458032,5.481424,10.273926,8.959032,41.830271,0,0
1.257822,2.033482,3.291304,3.424756,37.458032,5.399330,10.273926,8.824086,41.830271,0,0
1.447247,6.634125,8.081372,3.378767,37.458032,5.428046,10.273926,8.806813,41.830271,0,0
1.370840,3.826132,5.196972,3.333132,37.458032,5.391639,10.273926,8.724772,41.830271,0,0
1.784021,0.240572,2.024593,3.298708,37.458032,5.277171,10.273926,8.575879,41.830271,0,0
0.944899,7.232454,8.177353,3.247538,37.458032,5.319677,10.273926,8.567215,41.830271,0,0
2.382201,5.875447,8.257648,3.229127,37.458032,5.331502,10.273926,8.560629,41.830271,0,0
1.636133,4.822790,6.458923,3.195939,37.458032,5.320904,10.273926,8.516843,41.830271,0,0
1.377895,3.614301,4.992196,3.158836,37.458032,5.286075,10.273926,8.444911,41.830271,0,0
1.151379,1.183397,2.334776,3.118687,37.458032,5.204022,10.273926,8.322709,41.830271,0,0
3.421414,7.245787,10.667201,3.124623,37.458032,5.244056,10.273926,8.368679,41.830271,0,0
1.309859,2.515422,3.825281,3.089724,37.458032,5.191583,10.273926,8.281306,41.830271,0,0
2.806401,8.433331,11.239732,3.084378,37.458032,5.252748,10.273926,8.337125,41.830271,0,0
3.113157,5.035029,8.148186,3.084911,37.458032,5.248716,10.273926,8.333627,41.830271,0,0
1.061472,12.837718,13.899190,3.048121,37.458032,5.386698,12.837718,8.434819,41.830271,0,0
1.664244,6.075001,7.739245,3.023409,37.458032,5.398989,12.837718,8.422398,41.830271,0,0
6.398535,1.160842,7.559377,3.082622,37.458032,5.324635,12.837718,8.407257,41.830271,0,0
1.649115,2.923067,4.572182,3.057906,37.458032,5.283229,12.837718,8.341135,41.830271,0,0
1.439673,2.472329,3.912002,3.030478,37.458032,5.235587,12.837718,8.266065,41.830271,0,0
3.006288,1.535505,4.541793,3.030075,37.458032,5.173919,12.837718,8.203994,41.830271,0,0
3.143176,6.932641,10.075817,3.031929,37.458032,5.202750,12.837718,8.234679,41.830271,0,0
2.363590,4.920012,7.283602,3.021150,37.458032,5.198190,12.837718,8.219339,41.830271,0,0
1.214248,2.403442,3.617690,2.992469,37.458032,5.153829,12.837718,8.146297,41.830271,0,0
1.648577,0.487015,2.135592,2.971470,37.458032,5.080910,12.837718,8.052380,41.830271,0,0
2.889345,0.766382,3.655727,2.970207,37.458032,5.014532,12.837718,7.984739,41.830271,0,0
2.077518,1.458506,3.536024,2.956681,37.458032,4.960653,12.837718,7.917335,41.830271,0,0
0.964825,7.806355,8.771180,2.926952,37.458032,5.003126,12.837718,7.930078,41.830271,0,0
5.827448,1.709225,7.536673,2.969606,37.458032,4.954687,12.837718,7.924293,41.830271,0,0
1.382377,2.760420,4.142797,2.946603,37.458032,4.922886,12.837718,7.869489,41.830271,0,0
1.819428,4.325424,6.144852,2.930501,37.458032,4.914350,12.837718,7.844851,41.830271,0,0
0.990492,2.095073,3.085565,2.903177,37.458032,4.874642,12.837718,7.777819,41.830271,0,0
4.319110,6.362739,10.681849,2.922842,37.458032,4.895310,12.837718,7.818153,41.830271,0,0
1.455395,8.547312,10.002707,2.902740,37.458032,4.945338,12.837718,7.848078,41.830271,0,0
1.558967,6.135353,7.694320,2.884581,37.458032,4.961419,12.837718,7.846000,41.830271,0,0
3.360044,3.182971,6.543015,2.890921,37.458032,4.937706,12.837718,7.828627,41.830271,0,0
1.202730,19.976655,21.179385,2.868708,37.458032,5.135587,19.976655,8.004295,41.830271,0,0
2.305350,2.758124,5.063474,2.861391,37.458032,5.104711,19.976655,7.966103,41.830271,0,0
1.467413,12.878144,14.345557,2.843520,37.458032,5.204371,19.976655,8.047890,41.830271,0,0
1.669874,2.174536,3.844410,2.828664,37.458032,5.166018,19.976655,7.994682,41.830271,0,0
1.746373,6.798088,8.544461,2.815135,37.458032,5.186419,19.976655,8.001554,41.830271,0,0
2.369071,6.757292,9.126363,2.809628,37.458032,5.205813,19.976655,8.015441,41.830271,0,0
2.793105,3.622690,6.415795,2.809426,37.458032,5.186506,19.976655,7.995933,41.830271,0,0
2.070185,1.651096,3.721281,2.800520,37.458032,5.143911,19.976655,7.944431,41.830271,0,0
2.693328,3.269119,5.962447,2.799244,37.458032,5.121592,19.976655,7.920836,41.830271,0,0
2.298758,1.821428,4.120186,2.793356,37.458032,5.082767,19.976655,7.876122,41.830271,0,0
9.729728,0.294293,10.024021,2.874011,37.458032,5.027087,19.976655,7.901098,41.830271,0,0
8.121761,2.249480,10.371241,2.934330,37.458032,4.995160,19.976655,7.929490,41.830271,0,0
6.142278,1.293452,7.435730,2.970784,37.458032,4.953095,19.976655,7.923879,41.830271,0,0
3.015955,0.634124,3.650079,2.971292,37.458032,4.904567,19.976655,7.875859,41.830271,0,0
2.354534,7.981170,10.335704,2.964439,37.458032,4.938752,19.976655,7.903191,41.830271,0,0
1.698318,6.730348,8.428666,2.950525,37.458032,4.958440,19.976655,7.908965,41.830271,0,0
1.735299,3.180564,4.915863,2.937316,37.458032,4.939115,19.976655,7.876432,41.830271,0,0
2.633218,15.759007,18.392225,2.934047,37.458032,5.055458,19.976655,7.989505,41.830271,0,0
2.410794,7.998836,10.409630,2.928480,37.458032,5.086771,19.976655,8.015251,41.830271,0,0
1.364266,6.264425,7.628691,2.912015,37.458032,5.099167,19.976655,8.011182,41.830271,0,0
2.692198,6.121260,8.813458,2.909725,37.458032,5.109814,19.976655,8.019539,41.830271,0,0
1.281008,6.902456,8.183464,2.892934,37.458032,5.128295,19.976655,8.021229,41.830271,0,0
6.290629,0.238239,6.528868,2.927604,37.458032,5.078396,19.976655,8.006000,41.830271,0,0
2.014704,3.586357,5.601061,2.918383,37.458032,5.063325,19.976655,7.981708,41.830271,0,0
2.178573,2.830031,5.008604,2.910985,37.458032,5.040992,19.976655,7.951977,41.830271,0,0
1.801410,8.665200,10.466610,2.899999,37.458032,5.076875,19.976655,7.976874,41.830271,0,0
