capture_to_processing_ms,processing_to_display_ms,end_to_end_latency_ms,capture_to_processing_avg_ms,capture_to_processing_worst_ms,processing_to_display_avg_ms,processing_to_display_worst_ms,end_to_end_avg_ms,end_to_end_worst_ms,dropped_audio_samples,missed_beat_detections
43.293477,4.603970,47.897447,43.293477,43.293477,4.603970,4.603970,47.897447,47.897447,0,0
1.151177,9.277236,10.428413,22.222327,43.293477,6.940603,9.277236,29.162930,47.897447,0,0
4.745765,4.423971,9.169736,16.396806,43.293477,6.101726,9.277236,22.498532,47.897447,0,0
1.117011,5.566594,6.683605,12.576858,43.293477,5.967943,9.277236,18.544800,47.897447,0,0
1.181548,4.144010,5.325558,10.297796,43.293477,5.603156,9.277236,15.900952,47.897447,0,0
1.339269,1.164104,2.503373,8.804708,43.293477,4.863314,9.277236,13.668022,47.897447,0,0
3.470903,4.367731,7.838634,8.042736,43.293477,4.792517,9.277236,12.835252,47.897447,0,0
1.096956,3.733550,4.830506,7.174513,43.293477,4.660146,9.277236,11.834659,47.897447,0,0
1.342881,5.271077,6.613958,6.526554,43.293477,4.728027,9.277236,11.254581,47.897447,0,0
2.648835,0.938920,3.587755,6.138782,43.293477,4.349116,9.277236,10.487899,47.897447,0,0
1.300862,9.155144,10.456006,5.698971,43.293477,4.786028,9.277236,10.484999,47.897447,0,0
0.991067,5.022283,6.013350,5.306646,43.293477,4.805716,9.277236,10.112362,47.897447,0,0
1.951209,4.729914,6.681123,5.048535,43.293477,4.799885,9.277236,9.848420,47.897447,0,0
0.928068,1.550749,2.478817,4.754216,43.293477,4.567804,9.277236,9.322020,47.897447,0,0
1.473083,0.645847,2.118930,4.535474,43.293477,4.306340,9.277236,8.841814,47.897447,0,0
1.459879,0.912957,2.372836,4.343249,43.293477,4.094254,9.277236,8.437503,47.897447,0,0
1.302418,7.282804,8.585222,4.164377,43.293477,4.281815,9.277236,8.446192,47.897447,0,0
1.317677,4.961357,6.279034,4.006227,43.293477,4.319568,9.277236,8.325795,47.897447,0,0
1.642656,1.522583,3.165239,3.881828,43.293477,4.172358,9.277236,8.054186,47.897447,0,0
1.285473,8.150892,9.436365,3.752011,43.293477,4.371285,9.277236,8.123295,47.897447,0,0
1.388436,4.053251,5.441687,3.639460,43.293477,4.356140,9.277236,7.995600,47.897447,0,0
1.196844,2.003542,3.200386,3.528432,43.293477,4.249204,9.277236,7.777635,47.897447,0,0
2.289522,5.692556,7.982078,3.474566,43.293477,4.311958,9.277236,7.786524,47.897447,0,0
1.190159,4.467749,5.657908,3.379382,43.293477,4.318450,9.277236,7.697832,47.897447,0,0
0.827384,1.356028,2.183412,3.277302,43.293477,4.199953,9.277236,7.477255,47.897447,0,0
2.000802,5.021448,7.022250,3.228206,43.293477,4.231549,9.277236,7.459755,47.897447,0,0
1.315936,3.988103,5.304039,3.157381,43.293477,4.222532,9.277236,7.379914,47.897447,0,0
1.678453,7.955022,9.633475,3.104563,43.293477,4.355835,9.277236,7.460398,47.897447,0,0
2.012821,6.674697,8.687518,3.066916,43.293477,4.435796,9.277236,7.502712,47.897447,0,0
8.376446,6.105053,14.481499,3.243901,43.293477,4.491438,9.277236,7.735339,47.897447,0,0
1.223937,1.264510,2.488447,3.178740,43.293477,4.387344,9.277236,7.566084,47.897447,0,0
0.978308,7.983967,8.962275,3.109977,43.293477,4.499738,9.277236,7.609715,47.897447,0,0
1.058493,4.063696,5.122189,3.047811,43.293477,4.486525,9.277236,7.534335,47.897447,0,0
1.312214,1.010993,2.323207,2.996764,43.293477,4.384303,9.277236,7.381067,47.897447,0,0
0.979623,7.688154,8.667777,2.939131,43.293477,4.478699,9.277236,7.417830,47.897447,0,0
2.946444,2.847592,5.794036,2.939334,43.293477,4.433390,9.277236,7.372725,47.897447,0,0
0.838013,0.766791,1.604804,2.882542,43.293477,4.334293,9.277236,7.216835,47.897447,0,0
0.793272,6.409089,7.202361,2.827561,43.293477,4.388893,9.277236,7.216454,47.897447,0,0
0.412905,2.946055,3.358960,2.765647,43.293477,4.351897,9.277236,7.117544,47.897447,0,0
0.790606,0.408053,1.198659,2.716271,43.293477,4.253301,9.277236,6.969572,47.897447,0,0
1.100178,5.855888,6.956066,2.676854,43.293477,4.292389,9.277236,6.969242,47.897447,0,0
1.205567,3.408274,4.613841,2.641823,43.293477,4.271338,9.277236,6.913161,47.897447,0,0
0.708532,1.106697,1.815229,2.596863,43.293477,4.197742,9.277236,6.794605,47.897447,0,0
0.709329,9.203329,9.912658,2.553964,43.293477,4.311505,9.277236,6.865470,47.897447,0,0
1.098363,5.948962,7.047325,2.521618,43.293477,4.347893,9.277236,6.869511,47.897447,0,0
1.808951,11.847924,13.656875,2.506125,43.293477,4.510937,11.847924,7.017062,47.897447,0,0
0.801680,3.503219,4.304899,2.469860,43.293477,4.489496,11.847924,6.959357,47.897447,0,0
0.697403,11.924682,12.622085,2.432934,43.293477,4.644396,11.924682,7.077330,47.897447,0,0
1.149474,4.193047,5.342521,2.406741,43.293477,4.635185,11.924682,7.041926,47.897447,0,0
0.561089,9.040757,9.601846,2.369828,43.293477,4.723296,11.924682,7.093124,47.897447,0,0
0.783106,6.431644,7.214750,2.338716,43.293477,4.756793,11.924682,7.095509,47.897447,0,0
0.480831,6.517569,6.998400,2.302987,43.293477,4.790654,11.924682,7.093642,47.897447,0,0
0.925235,4.592581,5.517816,2.276992,43.293477,4.786917,11.924682,7.063909,47.897447,0,0
0.773810,9.572309,10.346119,2.249155,43.293477,4.875536,11.924682,7.124691,47.897447,0,0
0.561570,26.187498,26.749068,2.218472,43.293477,5.263026,26.187498,7.481498,47.897447,0,0
1.059882,7.605859,8.665741,2.197783,43.293477,5.304862,26.187498,7.502645,47.897447,0,0
7.122009,7.392416,14.514425,2.284173,43.293477,5.341486,26.187498,7.625659,47.897447,0,0
1.117789,7.773987,8.891776,2.264063,43.293477,5.383426,26.187498,7.647488,47.897447,0,0
