capture_to_processing_ms,processing_to_display_ms,end_to_end_latency_ms,capture_to_processing_avg_ms,capture_to_processing_worst_ms,processing_to_display_avg_ms,processing_to_display_worst_ms,end_to_end_avg_ms,end_to_end_worst_ms,dropped_audio_samples,missed_beat_detections
42.953825,4.619813,47.573638,42.953825,42.953825,4.619813,4.619813,47.573638,47.573638,0,0
1.073292,1.908121,2.981413,22.013559,42.953825,3.263967,4.619813,25.277526,47.573638,0,0
4.683886,5.432124,10.116010,16.237001,42.953825,3.986686,5.432124,20.223687,47.573638,0,0
1.056884,1.132069,2.188953,12.441972,42.953825,3.273032,5.432124,15.715004,47.573638,0,0
1.098884,6.246250,7.345134,10.173354,42.953825,3.867675,6.246250,14.041030,47.573638,0,0
1.489308,3.066135,4.555443,8.726013,42.953825,3.734085,6.246250,12.460099,47.573638,0,0
3.443873,6.442212,9.886085,7.971422,42.953825,4.120961,6.442212,12.092382,47.573638,0,0
1.074551,6.941061,8.015612,7.109313,42.953825,4.473473,6.941061,11.582786,47.573638,0,0
1.319402,4.541702,5.861104,6.465989,42.953825,4.481054,6.941061,10.947044,47.573638,0,0
1.659308,9.112699,10.772007,5.985321,42.953825,4.944219,9.112699,10.929540,47.573638,0,0
1.391586,6.184195,7.575781,5.567709,42.953825,5.056944,9.112699,10.624653,47.573638,0,0
0.959737,3.058708,4.018445,5.183711,42.953825,4.890424,9.112699,10.074135,47.573638,0,0
2.095768,0.288499,2.384267,4.946177,42.953825,4.536430,9.112699,9.482607,47.573638,0,0
0.912440,0.453924,1.366364,4.658053,42.953825,4.244822,9.112699,8.902875,47.573638,0,0
1.261087,6.720006,7.981093,4.431589,42.953825,4.409835,9.112699,8.841423,47.573638,0,0
1.255124,4.768664,6.023788,4.233060,42.953825,4.432261,9.112699,8.665321,47.573638,0,0
1.264698,0.955774,2.220472,4.058450,42.953825,4.227762,9.112699,8.286212,47.573638,0,0
1.458623,6.131102,7.589725,3.914015,42.953825,4.333503,9.112699,8.247519,47.573638,0,0
1.165754,3.545354,4.711108,3.769370,42.953825,4.292022,9.112699,8.061392,47.573638,0,0
1.281124,0.200906,1.482030,3.644958,42.953825,4.087466,9.112699,7.732424,47.573638,0,0
0.652571,6.226731,6.879302,3.502463,42.953825,4.189336,9.112699,7.691799,47.573638,0,0
1.526697,3.384670,4.911367,3.412656,42.953825,4.152760,9.112699,7.565415,47.573638,0,0
1.670234,9.854159,11.524393,3.336898,42.953825,4.400647,9.854159,7.737545,47.573638,0,0
1.215754,6.498786,7.714540,3.248517,42.953825,4.488069,9.854159,7.736586,47.573638,0,0
1.376901,4.471739,5.848640,3.173652,42.953825,4.487416,9.854159,7.661069,47.573638,0,0
1.557363,2.402304,3.959667,3.111487,42.953825,4.407220,9.854159,7.518707,47.573638,0,0
1.278327,9.029034,10.307361,3.043593,42.953825,4.578398,9.854159,7.621990,47.573638,0,0
1.112440,4.224666,5.337106,2.974623,42.953825,4.565765,9.854159,7.540387,47.573638,0,0
1.980139,2.042880,4.023019,2.940330,42.953825,4.478769,9.854159,7.419099,47.573638,0,0
1.006829,7.813983,8.820812,2.875880,42.953825,4.589942,9.854159,7.465823,47.573638,0,0
1.333291,5.016848,6.350139,2.826119,42.953825,4.603713,9.854159,7.429833,47.573638,0,0
1.128495,7.368374,8.496869,2.773069,42.953825,4.690109,9.854159,7.463178,47.573638,0,0
1.360531,6.391546,7.752077,2.730264,42.953825,4.741668,9.854159,7.471932,47.573638,0,0
1.614029,1.947658,3.561687,2.697434,42.953825,4.659491,9.854159,7.356925,47.573638,0,0
1.263142,1.462012,2.725154,2.656454,42.953825,4.568135,9.854159,7.224589,47.573638,0,0
1.293883,1.500993,2.794876,2.618605,42.953825,4.482936,9.854159,7.101541,47.573638,0,0
1.352624,1.174069,2.526693,2.584389,42.953825,4.393507,9.854159,6.977897,47.573638,0,0
1.643566,1.263624,2.907190,2.559631,42.953825,4.311142,9.854159,6.870773,47.573638,0,0
4.067426,4.102649,8.170075,2.598292,42.953825,4.305796,9.854159,6.904088,47.573638,0,0
4.033500,1.571530,5.605030,2.634172,42.953825,4.237439,9.854159,6.871612,47.573638,0,0
0.951995,3.711095,4.663090,2.593144,42.953825,4.224602,9.854159,6.817745,47.573638,0,0
2.474729,9.135904,11.610633,2.590324,42.953825,4.341537,9.854159,6.931862,47.573638,0,0
0.896384,7.628114,8.524498,2.550930,42.953825,4.417969,9.854159,6.968900,47.573638,0,0
1.161717,4.713238,5.874955,2.519357,42.953825,4.424680,9.854159,6.944037,47.573638,0,0
0.985773,1.926529,2.912302,2.485278,42.953825,4.369166,9.854159,6.854443,47.573638,0,0
18.762379,2.418915,21.181294,2.839128,42.953825,4.326769,9.854159,7.165897,47.573638,0,0
1.118421,7.942687,9.061108,2.802517,42.953825,4.403703,9.854159,7.206220,47.573638,0,0
1.175050,5.412753,6.587803,2.768611,42.953825,4.424725,9.854159,7.193337,47.573638,0,0
1.044088,5.342624,6.386712,2.733417,42.953825,4.443458,9.854159,7.176875,47.573638,0,0
1.108606,5.826622,6.935228,2.700921,42.953825,4.471121,9.854159,7.172042,47.573638,0,0
1.642289,3.609206,5.251495,2.680163,42.953825,4.454221,9.854159,7.134384,47.573638,0,0
1.602734,1.128420,2.731154,2.659443,42.953825,4.390263,9.854159,7.049707,47.573638,0,0
1.047292,6.328397,7.375689,2.629026,42.953825,4.426832,9.854159,7.055857,47.573638,0,0
1.243513,3.738187,4.981700,2.603368,42.953825,4.414079,9.854159,7.017447,47.573638,0,0
34.464420,0.112537,34.576957,3.182660,42.953825,4.335869,9.854159,7.518529,47.573638,0,0
2.036916,2.257250,4.294166,3.162200,42.953825,4.298751,9.854159,7.460951,47.573638,0,0
1.325661,1.162346,2.488007,3.129980,42.953825,4.243726,9.854159,7.373706,47.573638,0,0
3.806742,3.225727,7.032469,3.141648,42.953825,4.226175,9.854159,7.367823,47.573638,0,0
1.375197,10.894933,12.270130,3.111709,42.953825,4.339204,10.894933,7.450913,47.573638,0,0
1.146458,2.478322,3.624780,3.078954,42.953825,4.308190,10.894933,7.387144,47.573638,0,0
2.292249,5.107755,7.400004,3.066058,42.953825,4.321297,10.894933,7.387355,47.573638,0,0
1.003348,6.043232,7.046580,3.032788,42.953825,4.349070,10.894933,7.381858,47.573638,0,0
1.211143,8.720535,9.931678,3.003873,42.953825,4.418459,10.894933,7.422332,47.573638,0,0
1.296234,6.238954,7.535188,2.977191,42.953825,4.446904,10.894933,7.424095,47.573638,0,0
1.336439,6.336731,7.673170,2.951949,42.953825,4.475978,10.894933,7.427927,47.573638,0,0
1.516604,3.000765,4.517369,2.930201,42.953825,4.453627,10.894933,7.383828,47.573638,0,0
1.269031,1.182958,2.451989,2.905408,42.953825,4.404811,10.894933,7.310218,47.573638,0,0
2.244360,6.555730,8.800090,2.895686,42.953825,4.436442,10.894933,7.332128,47.573638,0,0
2.492100,6.521378,9.013478,2.889837,42.953825,4.466658,10.894933,7.356495,47.573638,0,0
1.389012,14.195826,15.584838,2.868397,42.953825,4.605646,14.195826,7.474043,47.573638,0,0
1.757307,10.052955,11.810262,2.852748,42.953825,4.682369,14.195826,7.535117,47.573638,0,0
1.561734,6.071102,7.632836,2.834817,42.953825,4.701657,14.195826,7.536474,47.573638,0,0
1.057755,5.114866,6.172621,2.810474,42.953825,4.707317,14.195826,7.517791,47.573638,0,0
1.996361,4.903756,6.900117,2.799472,42.953825,4.709972,14.195826,7.509444,47.573638,0,0
1.180125,2.117768,3.297893,2.777881,42.953825,4.675409,14.195826,7.453290,47.573638,0,0
5.917566,5.044867,10.962433,2.819192,42.953825,4.680270,14.195826,7.499463,47.573638,0,0
1.435013,9.279273,10.714286,2.801216,42.953825,4.739998,14.195826,7.541214,47.573638,0,0
1.499605,4.345721,5.845326,2.784529,42.953825,4.734943,14.195826,7.519472,47.573638,0,0
1.240624,9.804438,11.045062,2.764986,42.953825,4.799114,14.195826,7.564099,47.573638,0,0
1.746640,8.852017,10.598657,2.752256,42.953825,4.849775,14.195826,7.602031,47.573638,0,0
1.535530,6.774655,8.310185,2.737235,42.953825,4.873539,14.195826,7.610774,47.573638,0,0
3.243633,4.239278,7.482911,2.743411,42.953825,4.865804,14.195826,7.609215,47.573638,0,0
1.591771,11.776040,13.367811,2.729535,42.953825,4.949060,14.195826,7.678595,47.573638,0,0
