capture_to_processing_ms,processing_to_display_ms,end_to_end_latency_ms,capture_to_processing_avg_ms,capture_to_processing_worst_ms,processing_to_display_avg_ms,processing_to_display_worst_ms,end_to_end_avg_ms,end_to_end_worst_ms,dropped_audio_samples,missed_beat_detections
42.794848,5.905542,48.700390,42.794848,42.794848,5.905542,5.905542,48.700390,48.700390,0,0
0.981183,1.997662,2.978845,21.888016,42.794848,3.951602,5.905542,25.839617,48.700390,0,0
2.056328,1.065405,3.121733,15.277453,42.794848,2.989536,5.905542,18.266989,48.700390,0,0
0.994146,2.130310,3.124456,11.706626,42.794848,2.774730,5.905542,14.481356,48.700390,0,0
1.142183,9.042424,10.184607,9.593738,42.794848,4.028269,9.042424,13.622006,48.700390,0,0
1.312905,6.116634,7.429539,8.213599,42.794848,4.376329,9.042424,12.589928,48.700390,0,0
2.982234,1.203960,4.186194,7.466261,42.794848,3.923134,9.042424,11.389395,48.700390,0,0
1.359534,0.402665,1.762199,6.702920,42.794848,3.483075,9.042424,10.185995,48.700390,0,0
1.364868,6.756262,8.121130,6.109803,42.794848,3.846763,9.042424,9.956566,48.700390,0,0
2.629401,4.547509,7.176910,5.761763,42.794848,3.916837,9.042424,9.678600,48.700390,0,0
1.454090,2.649901,4.103991,5.370156,42.794848,3.801661,9.042424,9.171818,48.700390,0,0
1.032869,1.106904,2.139773,5.008716,42.794848,3.577098,9.042424,8.585814,48.700390,0,0
1.390997,7.068651,8.459648,4.730430,42.794848,3.845679,9.042424,8.576109,48.700390,0,0
0.933479,3.343326,4.276805,4.459219,42.794848,3.809797,9.042424,8.269016,48.700390,0,0
1.456978,1.460663,2.917641,4.259070,42.794848,3.653188,9.042424,7.912257,48.700390,0,0
0.954034,0.319185,1.273219,4.052505,42.794848,3.444813,9.042424,7.497317,48.700390,0,0
1.289368,8.521277,9.810645,3.889967,42.794848,3.743428,9.042424,7.633396,48.700390,0,0
1.336071,4.401139,5.737210,3.748084,42.794848,3.779968,9.042424,7.528052,48.700390,0,0
1.578274,1.151720,2.729994,3.633884,42.794848,3.641639,9.042424,7.275523,48.700390,0,0
1.305793,7.123854,8.429647,3.517479,42.794848,3.815750,9.042424,7.333229,48.700390,0,0
1.335793,3.132456,4.468249,3.413589,42.794848,3.783212,9.042424,7.196801,48.700390,0,0
