capture_to_processing_ms,processing_to_display_ms,end_to_end_latency_ms,capture_to_processing_avg_ms,capture_to_processing_worst_ms,processing_to_display_avg_ms,processing_to_display_worst_ms,end_to_end_avg_ms,end_to_end_worst_ms,dropped_audio_samples,missed_beat_detections
38.556112,5.298476,43.854588,38.556112,38.556112,5.298476,5.298476,43.854588,43.854588,0,0
1.002943,9.805787,10.808730,19.779528,38.556112,7.552131,9.805787,27.331659,43.854588,0,0
1.940239,3.996052,5.936291,13.833098,38.556112,6.366772,9.805787,20.199870,43.854588,0,0
1.407702,42.222090,43.629792,10.726749,38.556112,15.330601,42.222090,26.057350,43.854588,0,0
1.948980,4.034663,5.983643,8.971195,38.556112,13.071414,42.222090,22.042609,43.854588,0,0
1.241925,8.514362,9.756287,7.682984,38.556112,12.311905,42.222090,19.994889,43.854588,0,0
1.578554,3.493330,5.071884,6.810922,38.556112,11.052109,42.222090,17.863031,43.854588,0,0
1.273925,8.628936,9.902861,6.118798,38.556112,10.749212,42.222090,16.868010,43.854588,0,0
0.963036,1.136240,2.099276,5.545935,38.556112,9.681104,42.222090,15.227039,43.854588,0,0
1.279332,3.674885,4.954217,5.119275,38.556112,9.080482,42.222090,14.199757,43.854588,0,0
1.669684,7.118234,8.787918,4.805676,38.556112,8.902096,42.222090,13.707772,43.854588,0,0
0.910795,8.363511,9.274306,4.481102,38.556112,8.857214,42.222090,13.338316,43.854588,0,0
2.952831,10.166509,13.119340,4.363543,38.556112,8.957929,42.222090,13.321472,43.854588,0,0
0.974722,5.953550,6.928272,4.121484,38.556112,8.743330,42.222090,12.864815,43.854588,0,0
1.222017,5.502329,6.724346,3.928186,38.556112,8.527264,42.222090,12.455450,43.854588,0,0
3.752181,8.016826,11.769007,3.917186,38.556112,8.495361,42.222090,12.412547,43.854588,0,0
0.798759,5.724513,6.523272,3.733749,38.556112,8.332370,42.222090,12.066119,43.854588,0,0
0.641204,11.114897,11.756101,3.561941,38.556112,8.486955,42.222090,12.048896,43.854588,0,0
3.888218,6.815976,10.704194,3.579114,38.556112,8.399009,42.222090,11.978122,43.854588,0,0
0.741666,1.889387,2.631053,3.437241,38.556112,8.073528,42.222090,11.510769,43.854588,0,0
0.986073,9.273807,10.259880,3.320519,38.556112,8.130684,42.222090,11.451203,43.854588,0,0
1.755017,5.043496,6.798513,3.249360,38.556112,7.990357,42.222090,11.239717,43.854588,0,0
2.124924,6.658402,8.783326,3.200471,38.556112,7.932446,42.222090,11.132917,43.854588,0,0
2.300832,6.257457,8.558289,3.162986,38.556112,7.862655,42.222090,11.025641,43.854588,0,0
0.930351,10.130342,11.060693,3.073681,38.556112,7.953362,42.222090,11.027043,43.854588,0,0
0.651592,16.862559,17.514151,2.980524,38.556112,8.296024,42.222090,11.276547,43.854588,0,0
1.008129,4.615144,5.623273,2.907472,38.556112,8.159695,42.222090,11.067167,43.854588,0,0
1.008869,8.250697,9.259566,2.839665,38.556112,8.162945,42.222090,11.002610,43.854588,0,0
2.710461,8.382400,11.092861,2.835209,38.556112,8.170512,42.222090,11.005722,43.854588,0,0
1.077758,4.197626,5.275384,2.776628,38.556112,8.038083,42.222090,10.814710,43.854588,0,0
0.937888,7.201901,8.139789,2.717314,38.556112,8.011109,42.222090,10.728423,43.854588,0,0
1.264610,8.498640,9.763250,2.671917,38.556112,8.026345,42.222090,10.698261,43.854588,0,0
1.541184,4.801699,6.342883,2.637652,38.556112,7.928628,42.222090,10.566280,43.854588,0,0
1.261610,6.626920,7.888530,2.597180,38.556112,7.890342,42.222090,10.487523,43.854588,0,0
1.639646,9.720640,11.360286,2.569822,38.556112,7.942637,42.222090,10.512459,43.854588,0,0
0.936962,4.112941,5.049903,2.524465,38.556112,7.836256,42.222090,10.360721,43.854588,0,0
