capture_to_processing_ms,processing_to_display_ms,end_to_end_latency_ms,capture_to_processing_avg_ms,capture_to_processing_worst_ms,processing_to_display_avg_ms,processing_to_display_worst_ms,end_to_end_avg_ms,end_to_end_worst_ms,dropped_audio_samples,missed_beat_detections
37.831129,5.796095,43.627224,37.831129,37.831129,5.796095,5.796095,43.627224,43.627224,0,0
1.099741,2.298686,3.398427,19.465435,37.831129,4.047391,5.796095,23.512825,43.627224,0,0
1.462112,5.237095,6.699207,13.464327,37.831129,4.443959,5.796095,17.908286,43.627224,0,0
3.041797,4.942799,7.984596,10.858695,37.831129,4.568669,5.796095,15.427364,43.627224,0,0
2.866020,1.075315,3.941335,9.260160,37.831129,3.869998,5.796095,13.130158,43.627224,0,0
3.154465,1.419963,4.574428,8.242544,37.831129,3.461659,5.796095,11.704203,43.627224,0,0
1.928297,2.367742,4.296039,7.340509,37.831129,3.305385,5.796095,10.645894,43.627224,0,0
1.494500,5.823114,7.317614,6.609758,37.831129,3.620101,5.823114,10.229859,43.627224,0,0
1.312038,8.018855,9.330893,6.021122,37.831129,4.108852,8.018855,10.129974,43.627224,0,0
1.507186,2.491038,3.998224,5.569729,37.831129,3.947070,8.018855,9.516799,43.627224,0,0
1.427871,4.541928,5.969799,5.193196,37.831129,4.001148,8.018855,9.194344,43.627224,0,0
1.712872,5.699836,7.412708,4.903169,37.831129,4.142706,8.018855,9.045875,43.627224,0,0
1.635926,7.991023,9.626949,4.651843,37.831129,4.438730,8.018855,9.090573,43.627224,0,0
1.214019,10.257968,11.471987,4.406284,37.831129,4.854390,10.257968,9.260674,43.627224,0,0
1.007797,1.473094,2.480891,4.179718,37.831129,4.628970,10.257968,8.808688,43.627224,0,0
0.718463,18.539435,19.257898,3.963390,37.831129,5.498374,18.539435,9.461764,43.627224,0,0
0.968333,12.114877,13.083210,3.787210,37.831129,5.887580,18.539435,9.674790,43.627224,0,0
0.886945,4.605077,5.492022,3.626084,37.831129,5.816330,18.539435,9.442414,43.627224,0,0
0.630259,20.357640,20.987899,3.468409,37.831129,6.581662,20.357640,10.050071,43.627224,0,0
1.193871,7.834689,9.028560,3.354682,37.831129,6.644313,20.357640,9.998996,43.627224,0,0
3.347873,2.493538,5.841411,3.354358,37.831129,6.446657,20.357640,9.801015,43.627224,0,0
2.274853,3.952039,6.226892,3.305289,37.831129,6.333266,20.357640,9.638555,43.627224,0,0
1.235037,7.817893,9.052930,3.215278,37.831129,6.397815,20.357640,9.613093,43.627224,0,0
0.945074,7.306763,8.251837,3.120687,37.831129,6.435688,20.357640,9.556374,43.627224,0,0
3.825206,6.146984,9.972190,3.148867,37.831129,6.424139,20.357640,9.573007,43.627224,0,0
1.429131,2.719334,4.148465,3.082724,37.831129,6.281647,20.357640,9.364371,43.627224,0,0
0.875111,5.258744,6.133855,3.000960,37.831129,6.243762,20.357640,9.244722,43.627224,0,0
2.545797,6.904282,9.450079,2.984704,37.831129,6.267352,20.357640,9.252056,43.627224,0,0
1.418575,11.913487,13.332062,2.930700,37.831129,6.462046,20.357640,9.392746,43.627224,0,0
0.979519,4.146446,5.125965,2.865661,37.831129,6.384859,20.357640,9.250520,43.627224,0,0
1.160760,7.048448,8.209208,2.810664,37.831129,6.406265,20.357640,9.216929,43.627224,0,0
1.090760,4.741669,5.832429,2.756917,37.831129,6.354247,20.357640,9.111164,43.627224,0,0
2.575539,5.988484,8.564023,2.751420,37.831129,6.343163,20.357640,9.094584,43.627224,0,0
1.017279,4.232483,5.249762,2.700416,37.831129,6.281084,20.357640,8.981501,43.627224,0,0
0.765945,6.270984,7.036929,2.645146,37.831129,6.280796,20.357640,8.925941,43.627224,0,0
2.141816,8.083485,10.225301,2.631164,37.831129,6.330870,20.357640,8.962035,43.627224,0,0
1.202445,4.334780,5.537225,2.592550,37.831129,6.276922,20.357640,8.869472,43.627224,0,0
0.739779,5.644706,6.384485,2.543793,37.831129,6.260285,20.357640,8.804078,43.627224,0,0
1.013927,1.391871,2.405798,2.504566,37.831129,6.135454,20.357640,8.640019,43.627224,0,0
1.788557,6.661855,8.450412,2.486666,37.831129,6.148614,20.357640,8.635279,43.627224,0,0
2.331408,0.598686,2.930094,2.482879,37.831129,6.013250,20.357640,8.496128,43.627224,0,0
1.471760,4.701502,6.173262,2.458805,37.831129,5.982017,20.357640,8.440822,43.627224,0,0
1.040093,7.443171,8.483264,2.425811,37.831129,6.015998,20.357640,8.441809,43.627224,0,0
2.177298,1.123278,3.300576,2.420163,37.831129,5.904800,20.357640,8.324963,43.627224,0,0
1.095982,2.870539,3.966521,2.390737,37.831129,5.837372,20.357640,8.228109,43.627224,0,0
0.771204,2.238742,3.009946,2.355530,37.831129,5.759140,20.357640,8.114670,43.627224,0,0
2.119982,2.600909,4.720891,2.350518,37.831129,5.691944,20.357640,8.042462,43.627224,0,0
0.944649,14.243693,15.188342,2.321229,37.831129,5.870106,20.357640,8.191335,43.627224,0,0
1.501019,6.844170,8.345189,2.304490,37.831129,5.889984,20.357640,8.194475,43.627224,0,0
1.037390,0.753426,1.790816,2.279148,37.831129,5.787253,20.357640,8.066401,43.627224,0,0
1.010686,2.467150,3.477836,2.254276,37.831129,5.722153,20.357640,7.976430,43.627224,0,0
1.245667,4.951466,6.197133,2.234880,37.831129,5.707332,20.357640,7.942212,43.627224,0,0
2.049372,5.564318,7.613690,2.231380,37.831129,5.704634,20.357640,7.936014,43.627224,0,0
0.962297,8.844412,9.806709,2.207878,37.831129,5.762778,20.357640,7.970656,43.627224,0,0
0.701370,2.387280,3.088650,2.180487,37.831129,5.701405,20.357640,7.881892,43.627224,0,0
1.551834,3.968576,5.520410,2.169261,37.831129,5.670462,20.357640,7.839723,43.627224,0,0
1.060815,5.333392,6.394207,2.149815,37.831129,5.664548,20.357640,7.814363,43.627224,0,0
0.667075,6.156873,6.823948,2.124250,37.831129,5.673037,20.357640,7.797287,43.627224,0,0
0.954093,5.295836,6.249929,2.104417,37.831129,5.666643,20.357640,7.771061,43.627224,0,0
1.607908,6.119503,7.727411,2.096142,37.831129,5.674191,20.357640,7.770333,43.627224,0,0
0.665315,9.611968,10.277283,2.072686,37.831129,5.738745,20.357640,7.811431,43.627224,0,0
0.956982,3.590872,4.547854,2.054691,37.831129,5.704102,20.357640,7.758792,43.627224,0,0
6.574596,1.677816,8.252412,2.126435,37.831129,5.640192,20.357640,7.766628,43.627224,0,0
1.673704,11.552173,13.225877,2.119361,37.831129,5.732567,20.357640,7.851928,43.627224,0,0
1.027038,2.648057,3.675095,2.102556,37.831129,5.685113,20.357640,7.787669,43.627224,0,0
0.919519,6.541355,7.460874,2.084632,37.831129,5.698086,20.357640,7.782718,43.627224,0,0
2.241149,8.494931,10.736080,2.086968,37.831129,5.739830,20.357640,7.826798,43.627224,0,0
0.982908,3.309650,4.292558,2.070731,37.831129,5.704092,20.357640,7.774824,43.627224,0,0
0.968556,7.205634,8.174190,2.054758,37.831129,5.725854,20.357640,7.780612,43.627224,0,0
1.645112,2.242909,3.888021,2.048906,37.831129,5.676098,20.357640,7.725003,43.627224,0,0
0.909964,6.583559,7.493523,2.032864,37.831129,5.688879,20.357640,7.721743,43.627224,0,0
2.162835,5.650688,7.813523,2.034670,37.831129,5.688348,20.357640,7.723018,43.627224,0,0
1.009482,6.667615,7.677097,2.020626,37.831129,5.701763,20.357640,7.722389,43.627224,0,0
1.301815,9.375820,10.677635,2.010912,37.831129,5.751412,20.357640,7.762325,43.627224,0,0
1.970093,1.349279,3.319372,2.010368,37.831129,5.692717,20.357640,7.703085,43.627224,0,0
1.181038,3.389539,4.570577,1.999456,37.831129,5.662412,20.357640,7.661868,43.627224,0,0
0.725482,6.633115,7.358597,1.982911,37.831129,5.675019,20.357640,7.657929,43.627224,0,0
2.072076,5.785522,7.857598,1.984054,37.831129,5.676435,20.357640,7.660489,43.627224,0,0
1.654630,8.431635,10.086265,1.979884,37.831129,5.711311,20.357640,7.691195,43.627224,0,0
0.701630,6.530504,7.232134,1.963906,37.831129,5.721551,20.357640,7.685457,43.627224,0,0
0.911742,5.322095,6.233837,1.950916,37.831129,5.716620,20.357640,7.667536,43.627224,0,0
1.605242,6.125689,7.730931,1.946700,37.831129,5.721608,20.357640,7.668309,43.627224,0,0
2.087038,2.917409,5.004447,1.948391,37.831129,5.687823,20.357640,7.636214,43.627224,0,0
0.931556,5.394040,6.325596,1.936286,37.831129,5.684325,20.357640,7.620612,43.627224,0,0
0.921056,9.974765,10.895821,1.924342,37.831129,5.734801,20.357640,7.659143,43.627224,0,0
1.986465,3.535557,5.522022,1.925065,37.831129,5.709229,20.357640,7.634293,43.627224,0,0
0.958278,5.958948,6.917226,1.913952,37.831129,5.712099,20.357640,7.626051,43.627224,0,0
2.649872,5.193133,7.843005,1.922315,37.831129,5.706202,20.357640,7.628516,43.627224,0,0
2.129780,10.454024,12.583804,1.924646,37.831129,5.759548,20.357640,7.684194,43.627224,0,0
1.565149,3.938466,5.503615,1.920651,37.831129,5.739314,20.357640,7.659965,43.627224,0,0
