capture_to_processing_ms,processing_to_display_ms,end_to_end_latency_ms,capture_to_processing_avg_ms,capture_to_processing_worst_ms,processing_to_display_avg_ms,processing_to_display_worst_ms,end_to_end_avg_ms,end_to_end_worst_ms,dropped_audio_samples,missed_beat_detections
3.267484,31.752243,35.019727,3.267484,3.267484,31.752243,31.752243,35.019727,35.019727,0,0
10.758866,29.619526,40.378392,7.013175,10.758866,30.685885,31.752243,37.699060,40.378392,0,0
2.930574,31.118572,34.049146,5.652308,10.758866,30.830114,31.752243,36.482422,40.378392,0,0
6.762396,18.242767,25.005163,5.929830,10.758866,27.683277,31.752243,33.613107,40.378392,0,0
2.193551,13.761663,15.955214,5.182574,10.758866,24.898954,31.752243,30.081528,40.378392,0,0
3.858599,3.202077,7.060676,4.961912,10.758866,21.282808,31.752243,26.244720,40.378392,0,0
3.461708,8.210775,11.672483,4.747597,10.758866,19.415375,31.752243,24.162972,40.378392,0,0
2.890834,1.063136,3.953970,4.515502,10.758866,17.121345,31.752243,21.636846,40.378392,0,0
2.171996,2.284626,4.456622,4.255112,10.758866,15.472821,31.752243,19.727933,40.378392,0,0
6.898063,0.977506,7.875569,4.519407,10.758866,14.023289,31.752243,18.542696,40.378392,0,0
3.147780,0.999173,4.146953,4.394714,10.758866,12.839279,31.752243,17.233992,40.378392,0,0
3.056038,1.935883,4.991921,4.283157,10.758866,11.930662,31.752243,16.213820,40.378392,0,0
3.401818,1.138674,4.540492,4.215362,10.758866,11.100509,31.752243,15.315871,40.378392,0,0
3.117539,1.801197,4.918736,4.136946,10.758866,10.436273,31.752243,14.573219,40.378392,0,0
3.041464,1.033840,4.075304,4.063914,10.758866,9.809444,31.752243,13.873358,40.378392,0,0
3.906803,2.234773,6.141576,4.054095,10.758866,9.336027,31.752243,13.390122,40.378392,0,0
2.245330,1.095636,3.340966,3.947697,10.758866,8.851298,31.752243,12.798995,40.378392,0,0
3.814562,1.960883,5.775445,3.940300,10.758866,8.468497,31.752243,12.408798,40.378392,0,0
3.803766,1.689381,5.493147,3.933114,10.758866,8.111702,31.752243,12.044816,40.378392,0,0
4.655234,4.476418,9.131652,3.969220,10.758866,7.929937,31.752243,11.899158,40.378392,0,0
2.027346,1.002988,3.030334,3.876750,10.758866,7.600083,31.752243,11.476833,40.378392,0,0
3.467244,1.072137,4.539381,3.858136,10.758866,7.303358,31.752243,11.161494,40.378392,0,0
2.898260,1.090655,3.988915,3.816402,10.758866,7.033240,31.752243,10.849643,40.378392,0,0
1.978698,1.893605,3.872303,3.739831,10.758866,6.819089,31.752243,10.558920,40.378392,0,0
2.363275,1.502788,3.866063,3.684769,10.758866,6.606437,31.752243,10.291206,40.378392,0,0
2.334552,2.415238,4.749790,3.632838,10.758866,6.445237,31.752243,10.078075,40.378392,0,0
2.588683,1.439250,4.027933,3.594165,10.758866,6.259830,31.752243,9.853995,40.378392,0,0
4.001748,1.110859,5.112607,3.608722,10.758866,6.075938,31.752243,9.684660,40.378392,0,0
1.617788,1.981031,3.598819,3.540069,10.758866,5.934734,31.752243,9.474803,40.378392,0,0
2.555016,1.216749,3.771765,3.507234,10.758866,5.777468,31.752243,9.284702,40.378392,0,0
3.625727,1.287453,4.913180,3.511056,10.758866,5.632629,31.752243,9.143685,40.378392,0,0
2.187236,1.644881,3.832117,3.469687,10.758866,5.508012,31.752243,8.977699,40.378392,0,0
1.671289,0.568874,2.240163,3.415190,10.758866,5.358341,31.752243,8.773531,40.378392,0,0
2.804037,0.582745,3.386782,3.397215,10.758866,5.217882,31.752243,8.615097,40.378392,0,0
2.115570,1.436435,3.552005,3.360596,10.758866,5.109841,31.752243,8.470437,40.378392,0,0
2.048791,0.644430,2.693221,3.324157,10.758866,4.985802,31.752243,8.309959,40.378392,0,0
2.197070,0.759949,2.957019,3.293696,10.758866,4.871590,31.752243,8.165285,40.378392,0,0
2.199700,0.809597,3.009297,3.264906,10.758866,4.764695,31.752243,8.029601,40.378392,0,0
2.202625,2.657351,4.859976,3.237668,10.758866,4.710661,31.752243,7.948329,40.378392,0,0
2.985019,0.645116,3.630135,3.231352,10.758866,4.609022,31.752243,7.840374,40.378392,0,0
1.763104,0.539263,2.302367,3.195541,10.758866,4.509760,31.752243,7.705301,40.378392,0,0
2.124662,0.526337,2.650999,3.170044,10.758866,4.414916,31.752243,7.584960,40.378392,0,0
2.707239,1.544084,4.251323,3.159281,10.758866,4.348153,31.752243,7.507434,40.378392,0,0
9.151781,0.630189,9.781970,3.295474,10.758866,4.263653,31.752243,7.559128,40.378392,0,0
14.010776,4.870273,18.881049,3.533592,14.010776,4.277134,31.752243,7.810726,40.378392,0,0
6.511783,5.680499,12.192282,3.598335,14.010776,4.307642,31.752243,7.905977,40.378392,0,0
2.306793,0.832764,3.139557,3.570856,14.010776,4.233708,31.752243,7.804564,40.378392,0,0
2.835907,0.578541,3.414448,3.555544,14.010776,4.157559,31.752243,7.713103,40.378392,0,0
4.532196,1.375712,5.907908,3.575476,14.010776,4.100787,31.752243,7.676262,40.378392,0,0
3.361133,0.641004,4.002137,3.571189,14.010776,4.031591,31.752243,7.602780,40.378392,0,0
1.986309,1.689807,3.676116,3.540113,14.010776,3.985674,31.752243,7.525787,40.378392,0,0
2.415924,2.261496,4.677420,3.518494,14.010776,3.952516,31.752243,7.471010,40.378392,0,0
1.718604,1.885512,3.604116,3.484534,14.010776,3.913516,31.752243,7.398050,40.378392,0,0
2.026550,0.776690,2.803240,3.457534,14.010776,3.855427,31.752243,7.312961,40.378392,0,0
5.980131,0.926692,6.906823,3.503399,14.010776,3.802177,31.752243,7.305577,40.378392,0,0
1.380435,0.601337,1.981772,3.465489,14.010776,3.745019,31.752243,7.210509,40.378392,0,0
3.453226,1.481621,4.934847,3.465274,14.010776,3.705311,31.752243,7.170585,40.378392,0,0
3.021483,0.771357,3.792840,3.457623,14.010776,3.654725,31.752243,7.112348,40.378392,0,0
2.419183,0.823579,3.242762,3.440022,14.010776,3.606740,31.752243,7.046762,40.378392,0,0
4.068008,0.748745,4.816753,3.450488,14.010776,3.559106,31.752243,7.009595,40.378392,0,0
2.695425,1.656437,4.351862,3.438110,14.010776,3.527915,31.752243,6.966025,40.378392,0,0
2.468016,2.589591,5.057607,3.422464,14.010776,3.512781,31.752243,6.935244,40.378392,0,0
2.070939,2.753333,4.824272,3.401011,14.010776,3.500726,31.752243,6.901737,40.378392,0,0
1.957013,1.801641,3.758654,3.378448,14.010776,3.474178,31.752243,6.852626,40.378392,0,0
2.102625,3.378892,5.481517,3.358820,14.010776,3.472712,31.752243,6.831532,40.378392,0,0
2.265126,0.683097,2.948223,3.342249,14.010776,3.430445,31.752243,6.772694,40.378392,0,0
3.276522,0.659541,3.936063,3.341268,14.010776,3.389088,31.752243,6.730357,40.378392,0,0
1.095637,0.740172,1.835809,3.308244,14.010776,3.350134,31.752243,6.658378,40.378392,0,0
2.172866,0.654541,2.827407,3.291789,14.010776,3.311067,31.752243,6.602857,40.378392,0,0
3.788044,0.913431,4.701475,3.298879,14.010776,3.276815,31.752243,6.575694,40.378392,0,0
1.705178,0.656597,2.361775,3.276432,14.010776,3.239911,31.752243,6.516343,40.378392,0,0
1.179711,1.470103,2.649814,3.247311,14.010776,3.215330,31.752243,6.462641,40.378392,0,0
2.786851,0.758320,3.545171,3.241004,14.010776,3.181672,31.752243,6.422676,40.378392,0,0
2.150533,0.603171,2.753704,3.226267,14.010776,3.146828,31.752243,6.373095,40.378392,0,0
1.659844,0.764023,2.423867,3.205382,14.010776,3.115057,31.752243,6.320439,40.378392,0,0
1.830845,0.676412,2.507257,3.187296,14.010776,3.082970,31.752243,6.270265,40.378392,0,0
1.721826,0.769135,2.490961,3.168264,14.010776,3.052920,31.752243,6.221183,40.378392,0,0
2.024105,0.720579,2.744684,3.153595,14.010776,3.023018,31.752243,6.176613,40.378392,0,0
2.161662,0.606634,2.768296,3.141039,14.010776,2.992431,31.752243,6.133470,40.378392,0,0
0.954543,1.420361,2.374904,3.113708,14.010776,2.972780,31.752243,6.086488,40.378392,0,0
1.766622,0.818117,2.584739,3.097077,14.010776,2.946179,31.752243,6.043256,40.378392,0,0
2.595091,0.609134,3.204225,3.090955,14.010776,2.917679,31.752243,6.008634,40.378392,0,0
1.408583,0.726098,2.134681,3.070686,14.010776,2.891274,31.752243,5.961960,40.378392,0,0
0.934765,0.658337,1.593102,3.045258,14.010776,2.864691,31.752243,5.909949,40.378392,0,0
3.335281,0.617208,3.952489,3.048670,14.010776,2.838250,31.752243,5.886921,40.378392,0,0
