capture_to_processing_ms,processing_to_display_ms,end_to_end_latency_ms,capture_to_processing_avg_ms,capture_to_processing_worst_ms,processing_to_display_avg_ms,processing_to_display_worst_ms,end_to_end_avg_ms,end_to_end_worst_ms,dropped_audio_samples,missed_beat_detections
29.313079,5.249016,34.562095,29.313079,29.313079,5.249016,5.249016,34.562095,34.562095,0,0
0.937043,9.130374,10.067417,15.125061,29.313079,7.189695,9.130374,22.314756,34.562095,0,0
0.827394,1.658233,2.485627,10.359172,29.313079,5.345874,9.130374,15.705046,34.562095,0,0
1.027099,0.979803,2.006902,8.026154,29.313079,4.254357,9.130374,12.280510,34.562095,0,0
1.501528,9.183541,10.685069,6.721229,29.313079,5.240193,9.183541,11.961422,34.562095,0,0
1.298971,9.156967,10.455938,5.817519,29.313079,5.892989,9.183541,11.710508,34.562095,0,0
1.323749,9.073281,10.397030,5.175552,29.313079,6.347316,9.183541,11.522868,34.562095,0,0
1.217619,8.385666,9.603285,4.680810,29.313079,6.602110,9.183541,11.282920,34.562095,0,0
1.404323,7.096528,8.500851,4.316756,29.313079,6.657045,9.183541,10.973802,34.562095,0,0
1.303749,7.917015,9.220764,4.015455,29.313079,6.783042,9.183541,10.798498,34.562095,0,0
1.467973,5.450813,6.918786,3.783866,29.313079,6.661931,9.183541,10.445797,34.562095,0,0
0.915394,5.733352,6.648746,3.544827,29.313079,6.584549,9.183541,10.129376,34.562095,0,0
1.418268,3.565227,4.983495,3.381245,29.313079,6.352294,9.183541,9.733539,34.562095,0,0
1.250267,19.694758,20.945025,3.229033,29.313079,7.305327,19.694758,10.534359,34.562095,0,0
2.226051,5.396684,7.622735,3.162167,29.313079,7.178084,19.694758,10.340251,34.562095,0,0
0.652079,4.781846,5.433925,3.005287,29.313079,7.028319,19.694758,10.033606,34.562095,0,0
1.160656,1.873382,3.034038,2.896779,29.313079,6.725087,19.694758,9.621866,34.562095,0,0
1.201434,9.156615,10.358049,2.802593,29.313079,6.860172,19.694758,9.662765,34.562095,0,0
1.218286,6.971990,8.190276,2.719209,29.313079,6.866057,19.694758,9.585266,34.562095,0,0
1.299045,4.518641,5.817686,2.648200,29.313079,6.748687,19.694758,9.396887,34.562095,0,0
1.858697,2.737203,4.595900,2.610605,29.313079,6.557664,19.694758,9.168269,34.562095,0,0
1.216453,1.109285,2.325738,2.547234,29.313079,6.310010,19.694758,8.857244,34.562095,0,0
2.875907,6.262022,9.137929,2.561525,29.313079,6.307924,19.694758,8.869448,34.562095,0,0
1.576269,6.289041,7.865310,2.520472,29.313079,6.307137,19.694758,8.827609,34.562095,0,0
1.181396,4.509067,5.690463,2.466909,29.313079,6.235214,19.694758,8.702123,34.562095,0,0
1.258545,2.312089,3.570634,2.420434,29.313079,6.084325,19.694758,8.504758,34.562095,0,0
1.857975,8.590889,10.448864,2.399602,29.313079,6.177160,19.694758,8.576762,34.562095,0,0
1.293064,7.014415,8.307479,2.360083,29.313079,6.207062,19.694758,8.567145,34.562095,0,0
0.973747,5.081514,6.055261,2.312278,29.313079,6.168250,19.694758,8.480528,34.562095,0,0
1.176433,3.627468,4.803901,2.274416,29.313079,6.083557,19.694758,8.357974,34.562095,0,0
1.120396,4.427103,5.547499,2.237190,29.313079,6.030123,19.694758,8.267313,34.562095,0,0
1.185841,2.134532,3.320373,2.204335,29.313079,5.908386,19.694758,8.112722,34.562095,0,0
1.284638,2.984204,4.268842,2.176466,29.313079,5.819775,19.694758,7.996240,34.562095,0,0
1.409695,9.708414,11.118109,2.153914,29.313079,5.934146,19.694758,8.088060,34.562095,0,0
1.256138,11.046572,12.302710,2.128263,29.313079,6.080216,19.694758,8.208479,34.562095,0,0
1.431120,9.273153,10.704273,2.108898,29.313079,6.168908,19.694758,8.277806,34.562095,0,0
2.330404,12.743453,15.073857,2.114884,29.313079,6.346599,19.694758,8.461483,34.562095,0,0
2.546461,4.386936,6.933397,2.126242,29.313079,6.295029,19.694758,8.421270,34.562095,0,0
1.695196,4.154101,5.849297,2.115189,29.313079,6.240133,19.694758,8.355322,34.562095,0,0
1.205323,3.392855,4.598178,2.092443,29.313079,6.168951,19.694758,8.261394,34.562095,0,0
0.917191,11.398889,12.316080,2.063778,29.313079,6.296511,19.694758,8.360289,34.562095,0,0
0.918580,2.708406,3.626986,2.036511,29.313079,6.211080,19.694758,8.247591,34.562095,0,0
0.987359,2.221070,3.208429,2.012112,29.313079,6.118289,19.694758,8.130401,34.562095,0,0
0.915654,12.579952,13.495606,1.987193,29.313079,6.265145,19.694758,8.252338,34.562095,0,0
0.861005,18.064358,18.925363,1.962167,29.313079,6.527349,19.694758,8.489516,34.562095,0,0
0.847338,10.145992,10.993330,1.937931,29.313079,6.606016,19.694758,8.543947,34.562095,0,0
1.187859,9.655118,10.842977,1.921972,29.313079,6.670890,19.694758,8.592862,34.562095,0,0
1.587325,8.720186,10.307511,1.915000,29.313079,6.713584,19.694758,8.628584,34.562095,0,0
1.108285,7.713921,8.822206,1.898537,29.313079,6.733999,19.694758,8.632536,34.562095,0,0
