capture_to_processing_ms,processing_to_display_ms,end_to_end_latency_ms,capture_to_processing_avg_ms,capture_to_processing_worst_ms,processing_to_display_avg_ms,processing_to_display_worst_ms,end_to_end_avg_ms,end_to_end_worst_ms,dropped_audio_samples,missed_beat_detections
12.158800,2.050500,14.209300,12.158800,12.158800,2.050500,2.050500,14.209300,14.209300,0,0
1.235700,14.714600,15.950300,6.697250,12.158800,8.382550,14.714600,15.079800,15.950300,0,0
0.911500,17.257100,18.168600,4.768667,12.158800,11.340733,17.257100,16.109400,18.168600,0,0
1.768600,2.583800,4.352400,4.018650,12.158800,9.151500,17.257100,13.170150,18.168600,0,0
0.464500,8.806100,9.270600,3.307820,12.158800,9.082420,17.257100,12.390240,18.168600,0,0
0.613500,15.120800,15.734300,2.858767,12.158800,10.088817,17.257100,12.947583,18.168600,0,0
0.653600,20.323800,20.977400,2.543743,12.158800,11.550957,20.323800,14.094700,20.977400,0,0
0.488800,5.968800,6.457600,2.286875,12.158800,10.853187,20.323800,13.140063,20.977400,0,0
0.965100,10.952000,11.917100,2.140011,12.158800,10.864167,20.323800,13.004178,20.977400,0,0
0.669300,17.764600,18.433900,1.992940,12.158800,11.554210,20.323800,13.547150,20.977400,0,0
0.679700,2.179300,2.859000,1.873555,12.158800,10.701945,20.323800,12.575500,20.977400,0,0
0.728100,9.297700,10.025800,1.778100,12.158800,10.584925,20.323800,12.363025,20.977400,0,0
0.668500,12.752000,13.420500,1.692746,12.158800,10.751623,20.323800,12.444369,20.977400,0,0
1.499500,17.611300,19.110800,1.678943,12.158800,11.241600,20.323800,12.920543,20.977400,0,0
1.082400,3.098800,4.181200,1.639173,12.158800,10.698747,20.323800,12.337920,20.977400,0,0
1.463600,8.589100,10.052700,1.628200,12.158800,10.566894,20.323800,12.195094,20.977400,0,0
0.642000,13.564300,14.206300,1.570188,12.158800,10.743212,20.323800,12.313400,20.977400,0,0
1.029200,18.409700,19.438900,1.540133,12.158800,11.169128,20.323800,12.709261,20.977400,0,0
0.477700,4.281400,4.759100,1.484216,12.158800,10.806616,20.323800,12.290832,20.977400,0,0
2.168300,7.589800,9.758100,1.518420,12.158800,10.645775,20.323800,12.164195,20.977400,0,0
1.647700,13.771000,15.418700,1.524576,12.158800,10.794595,20.323800,12.319171,20.977400,0,0
0.683400,1.414700,2.098100,1.486341,12.158800,10.368236,20.323800,11.854577,20.977400,0,0
0.482200,7.141700,7.623900,1.442683,12.158800,10.227952,20.323800,11.670635,20.977400,0,0
0.794600,12.605000,13.399600,1.415679,12.158800,10.326996,20.323800,11.742675,20.977400,0,0
0.738400,18.680300,19.418700,1.388588,12.158800,10.661128,20.323800,12.049716,20.977400,0,0
0.510000,2.372000,2.882000,1.354796,12.158800,10.342315,20.323800,11.697112,20.977400,0,0
0.936600,8.389600,9.326200,1.339307,12.158800,10.269993,20.323800,11.609300,20.977400,0,0
0.563300,13.085900,13.649200,1.311593,12.158800,10.370561,20.323800,11.682154,20.977400,0,0
1.537900,19.122600,20.660500,1.319397,12.158800,10.672355,20.323800,11.991752,20.977400,0,0
0.410700,3.854500,4.265200,1.289107,12.158800,10.445093,20.323800,11.734200,20.977400,0,0
1.390600,8.699700,10.090300,1.292381,12.158800,10.388790,20.323800,11.681171,20.977400,0,0
0.538500,16.172400,16.710900,1.268822,12.158800,10.569528,20.323800,11.838350,20.977400,0,0
0.705800,1.629900,2.335700,1.251761,12.158800,10.298630,20.323800,11.550391,20.977400,0,0
0.854500,5.725800,6.580300,1.240076,12.158800,10.164135,20.323800,11.404212,20.977400,0,0
0.439100,12.777200,13.216300,1.217191,12.158800,10.238794,20.323800,11.455986,20.977400,0,0
1.853500,17.195600,19.049100,1.234867,12.158800,10.432039,20.323800,11.666906,20.977400,0,0
0.535300,3.398400,3.933700,1.215959,12.158800,10.241941,20.323800,11.457900,20.977400,0,0
0.509000,8.381500,8.890500,1.197355,12.158800,10.192982,20.323800,11.390337,20.977400,0,0
0.788000,13.675200,14.463200,1.186859,12.158800,10.282269,20.323800,11.469128,20.977400,0,0
0.582700,19.234200,19.816900,1.171755,12.158800,10.506068,20.323800,11.677822,20.977400,0,0
0.596600,5.835200,6.431800,1.157727,12.158800,10.392144,20.323800,11.549871,20.977400,0,0
0.840500,13.292000,14.132500,1.150174,12.158800,10.461188,20.323800,11.611362,20.977400,0,0
0.552000,16.385900,16.937900,1.136263,12.158800,10.598972,20.323800,11.735235,20.977400,0,0
