capture_to_processing_ms,processing_to_display_ms,end_to_end_latency_ms,capture_to_processing_avg_ms,capture_to_processing_worst_ms,processing_to_display_avg_ms,processing_to_display_worst_ms,end_to_end_avg_ms,end_to_end_worst_ms,dropped_audio_samples,missed_beat_detections
11.092400,2.250800,13.343200,11.092400,11.092400,2.250800,2.250800,13.343200,13.343200,0,0
0.678700,1.242800,1.921500,5.885550,11.092400,1.746800,2.250800,7.632350,13.343200,0,0
0.415100,3.375700,3.790800,4.062067,11.092400,2.289767,3.375700,6.351833,13.343200,0,0
0.259700,0.505600,0.765300,3.111475,11.092400,1.843725,3.375700,4.955200,13.343200,0,0
0.861800,15.192300,16.054100,2.661540,11.092400,4.513440,15.192300,7.174980,16.054100,0,0
0.399300,18.037600,18.436900,2.284500,11.092400,6.767467,18.037600,9.051967,18.436900,0,0
0.484700,0.850700,1.335400,2.027386,11.092400,5.922214,18.037600,7.949600,18.436900,0,0
0.933900,16.098100,17.032000,1.890700,11.092400,7.194200,18.037600,9.084900,18.436900,0,0
0.968800,16.753400,17.722200,1.788267,11.092400,8.256333,18.037600,10.044600,18.436900,0,0
0.735600,16.665300,17.400900,1.683000,11.092400,9.097230,18.037600,10.780230,18.436900,0,0
1.041700,15.634700,16.676400,1.624700,11.092400,9.691545,18.037600,11.316245,18.436900,0,0
0.433300,16.610600,17.043900,1.525417,11.092400,10.268133,18.037600,11.793550,18.436900,0,0
2.427400,32.419000,34.846400,1.594800,11.092400,11.972046,32.419000,13.566846,34.846400,0,0
0.754300,18.637700,19.392000,1.534764,11.092400,12.448164,32.419000,13.982929,34.846400,0,0
0.543100,0.906000,1.449100,1.468653,11.092400,11.678687,32.419000,13.147340,34.846400,0,0
1.010500,2.620600,3.631100,1.440019,11.092400,11.112556,32.419000,12.552575,34.846400,0,0
0.678600,16.864200,17.542800,1.395229,11.092400,11.450888,32.419000,12.846118,34.846400,0,0
0.740100,0.831200,1.571300,1.358833,11.092400,10.860906,32.419000,12.219739,34.846400,0,0
0.742100,0.896600,1.638700,1.326374,11.092400,10.336468,32.419000,11.662842,34.846400,0,0
1.054500,15.613300,16.667800,1.312780,11.092400,10.600310,32.419000,11.913090,34.846400,0,0
0.921900,16.266900,17.188800,1.294167,11.092400,10.870148,32.419000,12.164314,34.846400,0,0
0.829400,16.916600,17.746000,1.273041,11.092400,11.144986,32.419000,12.418027,34.846400,0,0
1.351500,15.950400,17.301900,1.276452,11.092400,11.353917,32.419000,12.630370,34.846400,0,0
0.549100,16.470500,17.019600,1.246146,11.092400,11.567108,32.419000,12.813254,34.846400,0,0
1.128100,17.295300,18.423400,1.241424,11.092400,11.796236,32.419000,13.037660,34.846400,0,0
0.892300,16.145400,17.037700,1.227996,11.092400,11.963512,32.419000,13.191508,34.846400,0,0
2.150200,14.768100,16.918300,1.262152,11.092400,12.067385,32.419000,13.329537,34.846400,0,0
0.436000,16.906600,17.342600,1.232646,11.092400,12.240214,32.419000,13.472861,34.846400,0,0
0.377000,16.753600,17.130600,1.203141,11.092400,12.395848,32.419000,13.598990,34.846400,0,0
1.020700,17.510900,18.531600,1.197060,11.092400,12.566350,32.419000,13.763410,34.846400,0,0
0.818800,15.664000,16.482800,1.184858,11.092400,12.666274,32.419000,13.851132,34.846400,0,0
0.557700,15.937600,16.495300,1.165259,11.092400,12.768503,32.419000,13.933763,34.846400,0,0
0.519900,16.709500,17.229400,1.145703,11.092400,12.887927,32.419000,14.033630,34.846400,0,0
0.436200,0.336400,0.772600,1.124835,11.092400,12.518765,32.419000,13.643600,34.846400,0,0
0.276800,1.261400,1.538200,1.100606,11.092400,12.197126,32.419000,13.297731,34.846400,0,0
0.564200,16.260800,16.825000,1.085706,11.092400,12.310006,32.419000,13.395711,34.846400,0,0
0.560400,0.616300,1.176700,1.071508,11.092400,11.993959,32.419000,13.065468,34.846400,0,0
0.328100,16.873100,17.201200,1.051945,11.092400,12.122358,32.419000,13.174303,34.846400,0,0
0.519000,16.243600,16.762600,1.038279,11.092400,12.228031,32.419000,13.266310,34.846400,0,0
0.150800,2.285300,2.436100,1.016092,11.092400,11.979462,32.419000,12.995555,34.846400,0,0
0.393400,16.099300,16.492700,1.000905,11.092400,12.079946,32.419000,13.080851,34.846400,0,0
0.256600,0.329700,0.586300,0.983183,11.092400,11.800179,32.419000,12.783362,34.846400,0,0
0.830000,16.208000,17.038000,0.979621,11.092400,11.902686,32.419000,12.882307,34.846400,0,0
0.405400,16.394300,16.799700,0.966570,11.092400,12.004768,32.419000,12.971339,34.846400,0,0
0.538100,0.813100,1.351200,0.957049,11.092400,11.756064,32.419000,12.713113,34.846400,0,0
0.274100,15.854700,16.128800,0.942202,11.092400,11.845165,32.419000,12.787367,34.846400,0,0
