capture_to_processing_ms,processing_to_display_ms,end_to_end_latency_ms,capture_to_processing_avg_ms,capture_to_processing_worst_ms,processing_to_display_avg_ms,processing_to_display_worst_ms,end_to_end_avg_ms,end_to_end_worst_ms,dropped_audio_samples,missed_beat_detections
11.539200,2.071800,13.611000,11.539200,11.539200,2.071800,2.071800,13.611000,13.611000,0,0
0.816300,1.848800,2.665100,6.177750,11.539200,1.960300,2.071800,8.138050,13.611000,0,0
0.950100,17.605100,18.555200,4.435200,11.539200,7.175233,17.605100,11.610433,18.555200,0,0
0.458000,0.436600,0.894600,3.440900,11.539200,5.490575,17.605100,8.931475,18.555200,0,0
0.365600,0.547600,0.913200,2.825840,11.539200,4.501980,17.605100,7.327820,18.555200,0,0
0.482500,0.532500,1.015000,2.435283,11.539200,3.840400,17.605100,6.275683,18.555200,0,0
0.331700,17.042600,17.374300,2.134771,11.539200,5.726429,17.605100,7.861200,18.555200,0,0
0.538700,15.589200,16.127900,1.935263,11.539200,6.959275,17.605100,8.894537,18.555200,0,0
1.070100,15.216200,16.286300,1.839133,11.539200,7.876711,17.605100,9.715844,18.555200,0,0
0.732000,15.751600,16.483600,1.728420,11.539200,8.664200,17.605100,10.392620,18.555200,0,0
1.126000,15.835000,16.961000,1.673655,11.539200,9.316091,17.605100,10.989745,18.555200,0,0
0.383400,16.063700,16.447100,1.566133,11.539200,9.878392,17.605100,11.444525,18.555200,0,0
0.668500,17.942800,18.611300,1.497085,11.539200,10.498731,17.942800,11.995815,18.611300,0,0
0.481200,16.620200,17.101400,1.424521,11.539200,10.935979,17.942800,12.360500,18.611300,0,0
0.606700,17.654000,18.260700,1.370000,11.539200,11.383847,17.942800,12.753847,18.611300,0,0
1.065200,15.861100,16.926300,1.350950,11.539200,11.663675,17.942800,13.014625,18.611300,0,0
1.081900,17.211600,18.293500,1.335124,11.539200,11.990024,17.942800,13.325147,18.611300,0,0
0.390700,17.283700,17.674400,1.282656,11.539200,12.284117,17.942800,13.566772,18.611300,0,0
0.602200,16.064600,16.666800,1.246842,11.539200,12.483089,17.942800,13.729932,18.611300,0,0
0.748100,17.227700,17.975800,1.221905,11.539200,12.720320,17.942800,13.942225,18.611300,0,0
0.565400,1.868400,2.433800,1.190643,11.539200,12.203562,17.942800,13.394205,18.611300,0,0
0.676200,16.710700,17.386900,1.167259,11.539200,12.408432,17.942800,13.575691,18.611300,0,0
0.491600,17.278900,17.770500,1.137883,11.539200,12.620191,17.942800,13.758074,18.611300,0,0
0.460400,17.737400,18.197800,1.109654,11.539200,12.833408,17.942800,13.943062,18.611300,0,0
0.167500,0.336200,0.503700,1.071968,11.539200,12.333520,17.942800,13.405488,18.611300,0,0
0.297300,2.485200,2.782500,1.042173,11.539200,11.954738,17.942800,12.996912,18.611300,0,0
0.268600,16.234100,16.502700,1.013522,11.539200,12.113233,17.942800,13.126756,18.611300,0,0
0.653400,2.804000,3.457400,1.000661,11.539200,11.780761,17.942800,12.781421,18.611300,0,0
0.304500,16.238800,16.543300,0.976655,11.539200,11.934486,17.942800,12.911141,18.611300,0,0
0.694700,3.469900,4.164600,0.967257,11.539200,11.652333,17.942800,12.619590,18.611300,0,0
0.309000,1.055100,1.364100,0.946023,11.539200,11.310487,17.942800,12.256510,18.611300,0,0
0.855700,15.663200,16.518900,0.943200,11.539200,11.446509,17.942800,12.389709,18.611300,0,0
0.218200,16.153800,16.372000,0.921230,11.539200,11.589155,17.942800,12.510385,18.611300,0,0
0.347300,16.459600,16.806900,0.904350,11.539200,11.732403,17.942800,12.636753,18.611300,0,0
0.555400,15.568900,16.124300,0.894380,11.539200,11.842017,17.942800,12.736397,18.611300,0,0
0.405200,16.978900,17.384100,0.880792,11.539200,11.984708,17.942800,12.865500,18.611300,0,0
0.314100,0.935000,1.249100,0.865476,11.539200,11.686068,17.942800,12.551543,18.611300,0,0
0.254100,0.935800,1.189900,0.849387,11.539200,11.403166,17.942800,12.252553,18.611300,0,0
1.034800,15.497500,16.532300,0.854141,11.539200,11.508149,17.942800,12.362290,18.611300,0,0
0.636300,15.527700,16.164000,0.848695,11.539200,11.608637,17.942800,12.457332,18.611300,0,0
0.212500,16.050000,16.262500,0.833178,11.539200,11.716963,17.942800,12.550141,18.611300,0,0
0.202400,15.268000,15.470400,0.818160,11.539200,11.801512,17.942800,12.619671,18.611300,0,0
0.692100,1.182000,1.874100,0.815228,11.539200,11.554547,17.942800,12.369774,18.611300,0,0
0.607900,0.587000,1.194900,0.810516,11.539200,11.305284,17.942800,12.115800,18.611300,0,0
0.481500,0.811900,1.293400,0.803204,11.539200,11.072098,17.942800,11.875302,18.611300,0,0
0.415600,0.341100,0.756700,0.794778,11.539200,10.838815,17.942800,11.633593,18.611300,0,0
1.004500,15.389400,16.393900,0.799240,11.539200,10.935636,17.942800,11.734877,18.611300,0,0
0.171600,16.668700,16.840300,0.786165,11.539200,11.055075,17.942800,11.841240,18.611300,0,0
0.851400,15.650200,16.501600,0.787496,11.539200,11.148853,17.942800,11.936349,18.611300,0,0
